actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
10,173695.06897408966,2,300,600,0.01,293848.6926409003,120153.62366681066,293740.7735803263,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,5,300,1500,0.05,296451.670188583,122756.60121449336,296343.751128009,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
10,173695.06897408966,3,100,300,0.002,356327.8785858841,182632.80961179445,356219.9595253101,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,5,100,500,0.002,367483.8058609168,193788.73688682713,367375.88680034276,False,1587397044210.4824,427615218464.78394,16.001442538836933,1214874.1307053445,187.94243565966985,1.8044639501974853,1.804464332202931
10,173695.06897408966,2,200,400,0.005,383743.94103044365,210048.87205635398,383636.0219698696,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,2,50,100,0.002,405006.7487471757,231311.679773086,404898.82968660165,False,962149300923.1283,542692588367.1863,54.810907512358966,1214874.1307053445,187.94243565966985,0.0633332756798975,0.0633332684917389
10,173695.06897408966,2,100,200,0.002,411877.20101053955,238182.13203644988,411769.2819499655,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,10,300,3000,0.005,426667.04527391243,252971.97629982277,426559.1262133384,False,443911898636.0867,245855567645.80133,34.468202879209144,1214874.1307053445,187.94243565966985,1.2114147686971959,1.211415269640716
10,173695.06897408966,3,50,150,0.002,430543.64824887493,256848.57927478527,430435.7291883009,False,16853651450.569666,478707679001.6278,30.37907471066413,1214874.1307053445,187.94243565966985,0.8820973084912845,0.8820973222463355
10,173695.06897408966,1,200,200,0.002,447102.97246444505,273407.90349035535,446995.053403871,False,175707871059.72705,500527641188.4961,19.800949587636076,1214874.1307053445,187.94243565966985,595.1964799427963,595.1965374916382
10,173695.06897408966,1,100,100,0.005,562728.20092572,389033.13195163035,562620.281865146,False,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,5,200,1000,0.05,578198.9109482031,404503.84197411337,578090.991887629,False,795521241200.5466,73878714368.14958,9.030150572926726,1214874.1307053445,187.94243565966985,1.6689980790584367,1.6689987192499574
10,173695.06897408966,2,300,600,0.02,622915.8870975103,449220.8181234206,622807.9680369362,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,8,300,2400,0.01,703846.28098597,530151.2120118804,703738.361925396,False,6564479971.460327,96834536418.09192,18.053210079104343,1214874.1307053445,187.94243565966985,1.2098937306759372,1.2098943476177708
10,173695.06897408966,2,50,100,0.005,790456.984280519,616761.9153064293,790349.0652199449,False,962149300923.1283,542692588367.1863,54.810907512358966,1214874.1307053445,187.94243565966985,0.0633332756798975,0.0633332684917389
10,173695.06897408966,2,200,400,0.01,796017.2023651124,622322.1333910227,795909.2833045383,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,5,100,500,0.005,860312.4057623819,686617.3367882922,860204.4867018078,False,1587397044210.4824,427615218464.78394,16.001442538836933,1214874.1307053445,187.94243565966985,1.8044639501974853,1.804464332202931
10,173695.06897408966,3,100,300,0.005,872499.2535668425,698804.1845927528,872391.3345062685,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,2,50,100,0.01,914160.7601876527,740465.691213563,914052.8411270786,False,962149300923.1283,542692588367.1863,54.810907512358966,1214874.1307053445,187.94243565966985,0.0633332756798975,0.0633332684917389
10,173695.06897408966,3,300,900,0.05,986608.0288563011,812912.9598822114,986500.1097957271,False,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,2,50,100,0.02,1092619.6508812988,918924.5819072091,1092511.7318207247,False,962149300923.1283,542692588367.1863,54.810907512358966,1214874.1307053445,187.94243565966985,0.0633332756798975,0.0633332684917389
10,173695.06897408966,2,100,200,0.005,1132745.0081828993,959049.9392088096,1132637.0891223252,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,3,50,150,0.005,1361679.6396386542,1187984.5706645646,1361571.72057808,False,16853651450.569666,478707679001.6278,30.37907471066413,1214874.1307053445,187.94243565966985,0.8820973084912845,0.8820973222463355
10,173695.06897408966,1,200,200,0.005,1450298.5785634806,1276603.509589391,1450190.6595029065,False,175707871059.72705,500527641188.4961,19.800949587636076,1214874.1307053445,187.94243565966985,595.1964799427963,595.1965374916382
10,173695.06897408966,5,100,500,0.01,2078532.6327250001,1904837.5637509106,2078424.713664426,False,1587397044210.4824,427615218464.78394,16.001442538836933,1214874.1307053445,187.94243565966985,1.8044639501974853,1.804464332202931
10,173695.06897408966,1,100,100,0.01,2302858.727430905,2129163.6584568154,2302750.8083703313,False,4686721195520.869,631217311762.0146,44.793825005147745,1214874.1307053445,187.94243565966985,750.604388334418,750.6046169067513
10,173695.06897408966,3,100,300,0.01,2458836.8652073927,2285141.796233303,2458728.946146819,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
