cycle,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact
75,1.0784066618744138e-08,1.182779997247921e-07,1.1827794421012324e-07,3.081320460435921e-07
76,1.0784050145034618e-08,1.1840100200406467e-07,1.1840116885842188e-07,3.0813157533111036e-07
77,1.0784062078491022e-08,1.1831155246801525e-07,1.1831172368372443e-07,3.081319163915149e-07
78,1.078405290280831e-08,1.1837698608250894e-07,1.1837671200863382e-07,3.0813165409853625e-07
79,1.0784059600247391e-08,1.1832935069116136e-07,1.1832949100138481e-07,3.081318454890353e-07
80,1.0784054974452482e-08,1.1836344291981142e-07,1.1836366669349714e-07,3.081317133550289e-07
81,1.0784058378227817e-08,1.1833874604429312e-07,1.1833894642184726e-07,3.0813181064037575e-07
82,1.0784055922157765e-08,1.1835676540900407e-07,1.1835684888906687e-07,3.081317404389945e-07
83,1.0784057852918932e-08,1.1834388806384565e-07,1.183439136569597e-07,3.0813179555047813e-07
84,1.0784056519583469e-08,1.1835322919865449e-07,1.1835323191741133e-07,3.0813175747423227e-07
85,1.0784057437746871e-08,1.1834662486278835e-07,1.1834650589578127e-07,3.0813178368340657e-07
86,1.0784056351119956e-08,1.1835138102655818e-07,1.1835140441215543e-07,3.0813175271413517e-07
87,1.0784056999861777e-08,1.183476803660739e-07,1.183478620751492e-07,3.0813177116371396e-07
88,1.0784056750739398e-08,1.1835053091644726e-07,1.1835037934294269e-07,3.081317640148497e-07
89,1.078405706512654e-08,1.1834850583501793e-07,1.1834861806593326e-07,3.081317730584904e-07
90,1.0784056750394049e-08,1.1834971602892234e-07,1.1834976935877233e-07,3.081317641293743e-07
91,1.0784056828684163e-08,1.1834895051653994e-07,1.1834906043647297e-07,3.0813176637956726e-07
92,1.0784056747450517e-08,1.1834961180206605e-07,1.183495074146473e-07,3.0813176401394506e-07
93,1.0784056740756205e-08,1.1834929311780608e-07,1.1834921438806328e-07,3.0813176377107213e-07
94,1.0784056723512715e-08,1.1834958716570747e-07,1.1834941356636363e-07,3.0813176333217343e-07
95,1.078405671156732e-08,1.1834952316987802e-07,1.1834929145594175e-07,3.0813176298137855e-07
96,1.0784057013772977e-08,1.1834939529447104e-07,1.1834936247909732e-07,3.081317716517009e-07
97,1.0784056811714557e-08,1.1834917778278577e-07,1.1834924791594186e-07,3.081317657925844e-07
98,1.078405692255657e-08,1.1834965944118488e-07,1.1834946378820367e-07,3.081317690287405e-07
99,1.0784056814633393e-08,1.1834903726427829e-07,1.1834921927169161e-07,3.0813176590606764e-07
100,1.0784056854197394e-08,1.1834945573210951e-07,1.183495086651142e-07,3.0813176708979523e-07
