outer,inner_cycle,pre_objective,post_objective,post_minus_pre,post_linear_residual_norm,e_rel_to_exact,delta_e_norm,delta_e_raw_norm,e_norm
6,2,248208183.93601337,81360909.10236873,-166847274.83364463,25155186743.401493,11.138538353810493,595.9603929007276,595.9603929007276,155.35688873603763
6,3,38626033.29200602,15833332.846088119,-22792700.445917904,14273731025.344767,5.8394035118739085,755.567915475943,755.567915475943,80.2444985072745
6,4,382491381.98042834,52240321.25491305,-330251060.7255153,22656573659.052647,7.335005464485531,1011.1057023313002,1011.1057023313002,97.48160595723856
6,5,518301950.0370534,45179611.22799534,-473122338.80905807,24127944631.326797,6.3453400030657185,1388.80322736389,1388.80322736389,89.77917594689579
7,1,82068.13699007353,49076.81963147583,-32991.3173585977,2314061699.8221655,1.0788658765112153,82.3111681577905,82.3111681577905,95.74417301879922
7,2,2850671.422231824,1861714.0258586518,-988957.3963731723,2833444941.1999373,1.2105695059264763,97.10750964495134,97.10750964495134,119.17810978843536
7,3,966067.7972341608,189079.15523904123,-776988.6419951196,2938409527.2200074,0.9983062081067997,113.30301595019817,113.30301595019817,91.51718837321458
7,4,8066454.714324849,2863449.169363607,-5203005.544961242,3570500644.950988,1.1366582244020587,140.5057955681621,140.5057955681621,117.38491733962404
7,5,5863242.66750634,660752.6489973029,-5202490.018509037,4151100865.262984,0.9055659967764237,172.7137475315767,172.7137475315767,83.16613223454705
8,1,311680.8446991875,319892.4867964959,8211.642097308417,1893746557.437036,1.066801609506904,10.994895729872463,10.994895729872463,16.58007261155001
8,2,5195.233644819125,4783.988259155679,-411.24538566344654,169955328.7002708,1.0068937289438546,16.710382979010067,16.710382979010067,16.78760696331622
8,3,34237.41142052426,32466.977607176348,-1770.4338133479105,605168963.689422,0.8953000736516559,14.999232046435228,14.999232046435228,15.514366617951673
8,4,35301.859789361384,28854.922760972207,-6446.937028389177,488601256.19208974,0.8530262412887061,21.354850385382974,21.354850385382974,20.31194731746145
8,5,58285.37125929094,47642.43752276659,-10642.933736524355,700782817.6123418,0.7518251207602009,22.089024245849735,22.089024245849735,24.090138555101415
9,1,229698.73670993856,228621.30017952583,-1077.4365304127277,1576414231.1710305,0.909660967942966,4.735619737971844,4.735619737971844,7.342424420135952
9,2,5520.682457507366,5298.896813453141,-221.7856440542255,263644339.5227901,0.7998263752599534,3.4979866261891552,3.4979866261891552,13.450173866972953
9,3,688.5813877719885,772.7129530776746,84.13156530568608,94309239.71832475,0.6981120266152426,5.69572976589717,5.69572976589717,19.839278393839866
9,4,554.3386249927012,439.05243864539307,-115.2861863473081,86059243.63954334,0.6264537623447445,5.696310714332469,5.696310714332469,24.485501684626573
9,5,171.14543471764773,115.63266794843574,-55.51276676921199,3044960.985467791,0.5389369202411308,10.780070353257896,10.780070353257896,30.15036072501653
10,1,13385.321037509008,13214.26361472261,-171.0574227863981,380750735.7281739,0.8702923046431059,4.853068474145848,4.853068474145848,4.742447910746029
10,2,471.4299718288155,486.92011616819474,15.490144339379242,69685505.46430342,0.7761692620902059,5.560543516631268,5.560543516631268,7.875572820919461
10,3,146.06976608775457,146.64608742208804,0.5763213343334712,17899726.983337525,0.6633486787255355,10.17468520379361,10.17468520379361,11.838807650116356
10,4,471.50555546598406,577.1552146779007,105.64965921191668,86025326.95296036,0.6109707273142327,13.708123938535039,13.708123938535039,13.684715590853266
10,5,1201.362039646536,994.7160699360128,-206.64596971052322,114078377.89938292,0.49921273134009436,22.232813683676547,22.232813683676547,17.620325691550867
11,1,176311.20491302048,175688.54575652996,-622.6591564905248,1373651219.5470693,0.9253222992766988,6.99868358080591,6.99868358080591,6.77942299938858
11,2,5994.412953086319,5960.859406853208,-33.553546233110865,250360219.50847286,0.7252359738568347,3.462183688581496,3.462183688581496,4.906916241736838
11,3,108.91195694482633,108.68184827765015,-0.23010866717618228,9937679.454075387,0.6805997808914737,4.102449856807778,4.102449856807778,5.640432987445198
11,4,1694.3139897229821,1593.6068877170983,-100.70710200588383,129904019.78352258,0.552883244915757,5.350585295355767,5.350585295355767,7.849888114937487
11,5,747.6543543264135,676.6739324729089,-70.9804218535046,65185276.28646686,0.5474572206179765,7.204574037265226,7.204574037265226,7.941466862988766
12,1,8278.246326149248,8291.736448785596,13.490122636347223,291236885.806389,0.5698941261828867,3.9630294949364258,3.9630294949364258,4.173936840526934
12,2,884.711002329118,923.867698919354,39.15669659023604,89569389.83541104,0.4954498838368225,5.256861472011455,5.256861472011455,4.871057725702195
12,3,911.2920850601497,883.391316002213,-27.900769057936714,96932549.5058565,0.4320646296053593,8.019028543972569,8.019028543972569,5.46710484279159
12,4,1803.656561471313,1997.1897443843454,193.53318291303253,139839813.50023592,0.41069676812295974,11.468074211681072,11.468074211681072,5.7206251341876415
