outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
60,1,True,0.0032924380961049785,5489.495135593397,5418.463049201146,71.03208639225159,132.11227266619068,0.537664555750464,32.32324758658458,977.682773295986,1.6184611633711076e-10
61,1,True,0.0032910307330269446,5418.463049201146,5351.343270097811,67.11977910333462,154.92828503456553,0.4332312791583522,35.53941370983117,952.7118437769298,1.3295901044823042e-10
62,1,True,0.0032988675750666367,5351.343270097811,5302.234037974437,49.10923212337366,178.04286237171806,0.27582814311782605,37.95302291364953,902.799366072849,1.780937269190741e-10
63,1,True,0.0035961697846005427,5302.234037974437,5249.224051413832,53.009986560605284,215.84321805457358,0.24559486760062246,39.777598546850754,853.0829207305317,1.1987839564354658e-10
64,1,True,0.004069874579177266,5249.224051413832,5211.33545924637,37.888592167461866,226.54673023165222,0.16724404774555524,38.477484436247956,761.118348388806,5.816320320402142e-11
65,1,True,0.005269507875066935,5211.33545924637,5133.618459229488,77.7170000168826,236.09404937385222,0.3291781399107549,34.24435454896399,675.6711072613576,5.826575075266744e-11
66,1,True,0.005479638999616421,5133.618459229488,5070.735023447078,62.88343578240983,182.55893559245865,0.34445553474736346,29.9299725798487,583.7879584015025,5.0419118663912046e-11
67,1,True,0.005644609245438153,5070.735023447078,5003.06083817249,67.67418527458813,154.7890143880728,0.43720276624361487,26.810956183765892,561.3006967087772,6.987650658149536e-11
68,1,True,0.005655791912878955,5003.06083817249,4951.9931857853935,51.06765238709613,118.18838495770137,0.4320868958939816,24.47061183241538,542.7244627803248,8.602915053365366e-11
69,1,True,0.005669964337417628,4951.9931857853935,4899.17048440559,52.82270137980322,103.09480174851764,0.5123701727333962,22.63919964274526,529.347640304413,5.2794404197351764e-11
70,1,True,0.005669878476088631,4899.17048440559,4854.048245934242,45.12223847134828,84.16167233299035,0.536137617285213,20.896564616698733,516.2517760851138,8.46390272833553e-11
71,1,True,0.00566773784277323,4854.048245934242,4808.69138339313,45.356862541111695,75.32188208399806,0.6021737811932297,19.78574898170479,503.77678357323623,8.121378784115178e-11
72,1,True,0.005619374296460142,4808.69138339313,4766.749265027071,41.94211836605973,65.3667568966397,0.6416429444768101,18.527963826147246,491.5868273674207,4.2161658541387734e-11
73,1,True,0.00549162374411413,4766.749265027071,4724.396188326657,42.35307670041402,60.870211419812435,0.6957931591252641,18.15199733770176,480.41284947710847,6.60924839002263e-11
74,1,True,0.0051618748843534346,4724.396188326657,4681.9692281374,42.42696018925653,57.86670623842828,0.7331842945137513,18.04891770053013,470.5366321059526,7.653850071065385e-11
75,1,True,0.004638280054170919,4681.9692281374,4635.981495663003,45.98773247439658,59.9285729665923,0.7673757307725789,19.4250717438028,463.79400441612836,8.100886833017337e-11
76,1,True,0.0039290079031144174,4635.981495663003,4584.531304593534,51.45019106946984,66.03445368117217,0.7791416177664143,21.83628420940177,460.2908306097117,7.281938269795899e-11
77,1,True,0.003245337683304957,4584.531304593534,4524.631103708836,59.90020088469737,77.55552446600932,0.772352470015855,26.103913051712343,461.551780924763,8.510414074731208e-11
78,1,True,0.0027208396856058833,4524.631103708836,4458.464210640307,66.16689306852913,91.64940012425436,0.721956641056274,30.555927265672572,462.78016110884,1.2994131907217023e-10
79,1,True,0.0024828284975881676,4458.464210640307,4390.880754721341,67.58345591896614,106.90662411710741,0.6321727626992881,34.6788772449667,472.77242728055796,1.409800296834569e-10
80,1,True,0.00243696548149256,4390.880754721341,4334.163037613116,56.71771710822486,121.90976002948648,0.46524344805950296,36.91594914121464,454.3751993363953,9.424405020787022e-11
81,1,True,0.0024377840394230886,4334.163037613116,4282.825355268483,51.33768234463332,150.80065539107161,0.34043407975581547,40.801447856530295,468.6108494748138,1.0929799410442561e-10
82,1,True,0.0025170169555022684,4282.825355268483,4259.440603638554,23.38475162992836,179.3668972285071,0.13037384261677343,43.20674324482914,429.1646442650633,8.186345454438655e-11
83,1,True,0.0035338841118452147,4259.440603638554,4211.724478042798,47.71612559575624,217.81251751872804,0.21906971251848964,40.79933022126901,424.1716661820945,6.285520148811108e-11
84,1,True,0.004160697091846892,4211.724478042798,4171.253947546006,40.47053049679198,196.10726134338833,0.20636936245785997,35.89536119922522,351.3489669386392,6.189639976154734e-11
85,1,True,0.0050033722486761455,4171.253947546006,4102.720662267075,68.53328527893154,179.1237979309771,0.3826029040839113,30.718983489678738,362.0710340361128,6.454540831630362e-11
86,1,True,0.005068134936337962,4102.720662267075,4057.7169199441537,45.00374232292097,123.5166089443261,0.3643537715903937,26.330427710656103,332.8461621250498,4.0718830150217007e-11
87,1,True,0.005169330465297097,4057.7169199441537,4010.9795178368086,46.73740210734513,100.51476684841967,0.46498045583518116,23.190053784352422,352.1674334243924,5.0154534271147106e-11
88,1,True,0.005171106517594877,4010.9795178368086,3976.005452502511,34.97406533429739,74.26168291448286,0.47095707990582836,20.607967944802752,331.460036521691,6.624274387120147e-11
89,1,True,0.005172119948888356,3976.005452502511,3941.007986189303,34.99746631320795,63.135510681162934,0.5543230099134966,18.856054357579378,348.69230377931166,3.188230464889329e-11
90,1,True,0.005165486948070716,3941.007986189303,3910.3821933912945,30.62579279800866,51.44708275726232,0.5952872574429012,17.03435543901695,331.75972004677914,5.5482847709252084e-11
