c,k,beta,post_objective,x_rel_to_direct,objective_improvement,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
20,50,0.05,35666147.19141864,0.061873164859939704,-35666037.618630506,-0.055621765105879295,399587039659.64453,183.90122212842968,3051231897.493542,1.5654406740649605,1.5654409611815474
20,50,0.02,5976523.511862875,0.02775792169710623,-5976413.93907474,-0.02150652194304582,399587039659.64453,183.90122212842968,3051231897.493542,1.5654406740649605,1.5654409611815474
20,50,0.01,1518374.1456088657,0.01655382457271258,-1518264.5728207303,-0.010302424818652171,399587039659.64453,183.90122212842968,3051231897.493542,1.5654406740649605,1.5654409611815474
20,50,0.005,383268.37343879335,0.011129305737686682,-383158.80065065797,-0.004877905983626272,399587039659.64453,183.90122212842968,3051231897.493542,1.5654406740649605,1.5654409611815474
20,50,0.002,62042.11263686335,0.008071308043873012,-61932.539848727974,-0.0018199082898126022,399587039659.64453,183.90122212842968,3051231897.493542,1.5654406740649605,1.5654409611815474
20,50,0.001,15762.112831441136,0.007127778902883268,-15652.540043305766,-0.0008763791488228577,399587039659.64453,183.90122212842968,3051231897.493542,1.5654406740649605,1.5654409611815474
20,100,1.0,621159807.3332515,0.4142980816664023,-621159697.7604634,-0.4080466819123419,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.8,333857302.990129,0.33339389390476737,-333857193.4173409,-0.32714249415070695,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.5,97377108.92456597,0.21070100615354073,-97376999.35177784,-0.20444960639948032,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.3,28179028.04068527,0.1282959545565207,-28178918.467897136,-0.12204455480246029,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.2,11137728.969679466,0.08699787125648223,-11137619.39689133,-0.08074647150242181,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.1,2462360.2783010355,0.045726395845325556,-2462250.7055129004,-0.039474996091265147,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.05,578222.981541828,0.02522456168919731,-578113.4087536926,-0.0189731619351369,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.02,89457.45054701477,0.013230084602987737,-89347.8777588794,-0.0069786848489273275,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.01,22328.038163648427,0.009481662328759553,-22218.465375513057,-0.0032302625746991427,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.005,5714.954472513076,0.007758991652184786,-5605.381684377705,-0.001507591898124376,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.002,1044.784829520139,0.006819047470071344,-935.212041384768,-0.0005676477160109338,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,100,0.001,360.5165654409989,0.006528257121442722,-250.9437773056278,-0.0002768573673823122,48269279188.91772,66.98806014621383,621159807.3332515,1.4816326819363272,1.4816329860281603
20,200,1.0,33231567.62075907,0.19056889157034493,-33231458.047970936,-0.1843174918162845,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.8,15196984.71877244,0.15303563361277248,-15196875.145984303,-0.14678423385871206,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.5,3127572.7600641637,0.09665496148131504,-3127463.1872760286,-0.09040356172725462,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.3,631844.7476380841,0.05908429068322342,-631735.1748499487,-0.05283289092916301,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.2,195110.66129898728,0.04036785153823046,-195001.0885108519,-0.034116451784170054,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.1,31493.931772056298,0.021881024677393026,-31384.358983920927,-0.015629624923332617,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.05,6213.506611320717,0.013039379133527733,-6103.933823185345,-0.0067879793794673226,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.02,966.9984228370068,0.008373757756216085,-857.4256347016358,-0.0021223580021556753,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.01,326.88683436971417,0.007144469950683604,-217.3140462343431,-0.0008930701966231944,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.005,169.98010513841606,0.006646247519617876,-60.40731700304498,-0.00039484776555746576,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.002,122.72750900515179,0.006395596361234708,-13.154720869780704,-0.0001441966071742979,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
20,200,0.001,114.36237992077976,0.006321096502394605,-4.789591785408675,-6.969674833419513e-05,4301637877.606875,30.52493289945093,33231567.62075907,2.9881237406018504,2.9881251964094466
