basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,coarse_dim
message_conditioned_information,1,100,8,26.77135780724561,2.191364198425143,0.04138792634368122,12
message_conditioned_information,1,100,9,26.771319731312328,2.0772094855945906,0.04332498462237014,12
message_conditioned_information,1,100,10,26.771300116775553,2.0164653576621503,0.04445809034439851,12
message_conditioned_information,1,100,11,26.771289824642835,1.9843181283460585,0.045088024886831085,12
message_conditioned_information,1,100,12,26.771284377021214,1.9665989709213734,0.04544683095232144,12
message_conditioned_information,1,100,13,26.771281476227042,1.9573764313873787,0.045635872821449576,12
message_conditioned_information,1,100,14,26.771279927025923,1.952404832676594,0.04573854661355046,12
message_conditioned_information,1,100,15,26.771279100686595,1.9498024536868308,0.045792474238473366,12
message_conditioned_information,1,100,16,26.77127865579891,1.9483460015655443,0.04582275776459129,12
message_conditioned_information,1,100,17,26.771278415409736,1.9475433965958509,0.04583954786673352,12
message_conditioned_information,1,100,18,26.771278290461986,1.9472524194959402,0.04584542288150254,12
message_conditioned_information,1,100,19,26.771278221208327,1.946958642909809,0.04585162785634312,12
message_conditioned_information,1,100,20,26.771278181203225,1.9467358201405671,0.04585658372841747,12
joint_covariance,2,100,0,812.7548653692855,160.9546229766807,0.16992428373989524,12
joint_covariance,2,100,1,84.10955675578845,21.062739626666193,0.2309424326930508,12
joint_covariance,2,100,2,26.776083693672465,0.6687746998508912,0.1527121184561202,12
joint_covariance,2,100,3,26.770069584390924,0.05203525651765153,0.4138733001792664,12
joint_covariance,2,100,4,26.770067541706858,0.06704193101197493,0.32959749401258553,12
joint_covariance,2,100,5,26.77006764170559,0.06751397691833923,0.3277633191934422,12
joint_covariance,2,100,6,26.77006764421879,0.06781607038375412,0.32631997984531225,12
joint_covariance,2,100,7,26.770067645357162,0.06794236766055464,0.32572533408221227,12
joint_covariance,2,100,8,26.77006764509768,0.06763448306543546,0.32720029343170887,12
joint_covariance,2,100,9,26.770067645150082,0.06766531223696563,0.3270530952474651,12
joint_covariance,2,100,10,26.770067644823435,0.06777218542983601,0.32654220601767503,12
joint_covariance,2,100,11,26.770067644219335,0.067678953636819,0.3269731007555225,12
joint_covariance,2,100,12,26.770067645318225,0.06781364947242086,0.3263515296853645,12
joint_covariance,2,100,13,26.77006764434395,0.06778709995229154,0.3264602178524456,12
joint_covariance,2,100,14,26.770067644928734,0.06756481947608936,0.3275299195053285,12
joint_covariance,2,100,15,26.77006764488706,0.06778715141774039,0.32646579049477203,12
joint_covariance,2,100,16,26.770067645300667,0.06778891431804494,0.3264633934176415,12
joint_covariance,2,100,17,26.77006764454162,0.0675771493718989,0.32746449941838607,12
joint_covariance,2,100,18,26.770067645550533,0.06814200503024923,0.3247823730133706,12
joint_covariance,2,100,19,26.77006764509081,0.06749191393917597,0.32788241734648865,12
joint_covariance,2,100,20,26.77006764509575,0.06805992866927651,0.32518354165174623,12
message_conditioned_information,2,100,0,812.7548653692855,160.9546229766807,0.17213296893322103,12
message_conditioned_information,2,100,1,74.97016141234269,17.173083234634422,0.25872010524727446,12
message_conditioned_information,2,100,2,26.783634470935944,1.9084238391075141,0.06473495300511493,12
message_conditioned_information,2,100,3,26.770257108282046,1.802074897887184,0.023139988842462867,12
message_conditioned_information,2,100,4,26.77024958484081,1.788640286159847,0.022993725944985024,12
message_conditioned_information,2,100,5,26.770248814539812,1.7851026927962228,0.023004803050253424,12
message_conditioned_information,2,100,6,26.770248639757163,1.7844174063999654,0.023006028722260242,12
message_conditioned_information,2,100,7,26.770248600006337,1.7839856800526124,0.02300940378877688,12
