outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm,exact_linear_residual_norm
42,0.8,107.91906057412386,1.8016554611042372e-05,1.44132436888339e-05,1.9233655980787294e-11
43,0.8,107.91906057420174,7.731374798873606e-06,6.1850998390988846e-06,6.294684769022157e-11
44,0.8,107.91906057413303,4.1952702257788204e-05,3.3562161806230566e-05,8.285230249315807e-10
45,0.8,107.91906057416473,2.672171924996304e-05,2.137737539997043e-05,6.994643658807257e-11
46,0.8,107.91906057413794,1.7686536046093218e-05,1.4149228836874578e-05,9.796834042228329e-11
47,0.8,107.91906057409196,1.275525655710538e-05,1.0204205245684302e-05,4.679343463939219e-11
48,0.8,107.91906057416962,1.642745227301216e-05,1.3141961818409731e-05,5.858585338829446e-11
49,0.8,107.91906057415693,1.410495634364181e-05,1.1283965074913447e-05,8.926200373008425e-11
50,0.8,107.91906057417741,7.79539614451173e-06,6.236316915609384e-06,1.1173485795110569e-10
51,0.8,107.91906057411143,9.653796133423815e-07,7.72303690673905e-07,6.333158064335901e-12
52,0.8,107.91906057417151,6.926553889868375e-06,5.541243111894701e-06,1.1472859244133065e-10
53,0.8,107.91906057419477,1.0486704829428502e-05,8.389363863542804e-06,4.9688115898753813e-11
54,0.8,107.91906057420313,1.9518294030827547e-05,1.561463522466204e-05,1.200353744837684e-10
55,0.8,107.91906057413469,6.027313761205972e-06,4.821851008964779e-06,4.522195775081598e-11
56,0.8,107.91906057412363,1.355895551109168e-05,1.0847164408873346e-05,4.765137981665138e-11
57,0.8,107.91906057409612,1.3214022801072075e-05,1.0571218240857661e-05,1.1291685204876338e-10
58,0.8,107.91906057420564,1.7457892810986653e-05,1.3966314248789323e-05,3.1949943707670744e-10
59,0.8,107.9190605741363,4.019521400501187e-06,3.2156171204009503e-06,4.2918541081467794e-11
60,0.8,107.91906057415059,2.4378559436000894e-05,1.9502847548800715e-05,1.9790030980173201e-10
61,0.8,107.91906057416276,1.817431425040244e-05,1.453945140032195e-05,1.0389233944593974e-10
62,0.8,107.91906057412025,1.2862182653646998e-05,1.0289746122917598e-05,3.1519393469499835e-11
63,0.8,107.91906057409864,2.3234125869153133e-06,1.8587300695322514e-06,1.7412301385589872e-11
64,0.8,107.91906057419527,8.23367600958964e-06,6.58694080767171e-06,9.532038908333453e-11
65,0.8,107.9190605741978,1.3599252139340099e-05,1.0879401711472084e-05,1.0564247141967615e-10
66,0.8,107.91906057410229,1.4086589233274271e-05,1.1269271386619417e-05,9.225208587750843e-11
67,0.8,107.91906057418032,1.9352813076095364e-05,1.5482250460876297e-05,1.0953156962407374e-10
68,0.8,107.91906057413745,2.232537510155381e-05,1.786030008124305e-05,2.4742867826694095e-11
69,0.8,107.91906057412811,1.5247085189936877e-05,1.2197668151949502e-05,2.437784037975158e-10
70,0.8,107.91906057411387,1.02052264337993e-05,8.16418114703944e-06,2.5881131950513758e-11
71,0.8,107.91906057417113,9.069405864566926e-06,7.255524691653541e-06,8.228087135177967e-12
72,0.8,107.91906057413647,7.90045379239316e-06,6.3203630339145285e-06,2.885741314460917e-11
