actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
1,3350168.410825497,1,100,100,0.002,3337418.5274355,-12749.88338999683,3337310.6083749263,True,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
1,3350168.410825497,1,100,100,0.001,3343626.2955276784,-6542.115297818556,3343518.3764671045,True,2888435816.5117106,41432142618.61455,0.6818752949911947,902153322.0538718,699.3488142897845,26893.957595678916,26893.960140812927
2,3290767.1345014395,1,100,100,1.0,165823560.14150566,162532793.00700423,165823452.22244507,False,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.7,52698153.617043756,49407386.48254231,52698045.69798318,False,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.5,21496512.327594753,18205745.193093315,21496404.40853418,False,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.3,8038042.755170924,4747275.620669484,8037934.83611035,False,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.2,4820968.958722071,1530201.8242206313,4820861.039661497,False,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.1,3190808.298957051,-99958.83554438874,3190700.379896477,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.05,2991037.6370614897,-299729.4974399498,2990929.718000916,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.02,3104270.651694863,-186496.48280657642,3104162.732634289,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.01,3185760.672450941,-105006.46205049846,3185652.753390367,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.005,3235257.8669694182,-55509.26753202127,3235149.9479088443,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.002,3267833.219444958,-22933.91505648149,3267725.300384384,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
2,3290767.1345014395,1,100,100,0.001,3279177.7352648447,-11589.399236594792,3279069.816204271,True,165823560.14150566,31358808489.03546,1.3298689431910788,960103165.9143002,692.6807620933927,35.40609674266628,35.40606938022574
3,2991037.6370614897,1,100,100,1.0,576020833.2019554,573029795.564894,576020725.2828948,False,576020833.2019554,126024050378.88179,1.3553483705956142,999034368.3776838,684.7925779937325,195.44555724333156,195.4456005815452
3,2991037.6370614897,1,100,100,0.7,31436265.131697036,28445227.494635545,31436157.212636463,False,576020833.2019554,126024050378.88179,1.3553483705956142,999034368.3776838,684.7925779937325,195.44555724333156,195.4456005815452
3,2991037.6370614897,1,100,100,0.5,31176504.672795642,28185467.035734154,31176396.75373507,False,576020833.2019554,126024050378.88179,1.3553483705956142,999034368.3776838,684.7925779937325,195.44555724333156,195.4456005815452
3,2991037.6370614897,1,100,100,0.3,45247034.25067497,42255996.61361348,45246926.3316144,False,576020833.2019554,126024050378.88179,1.3553483705956142,999034368.3776838,684.7925779937325,195.44555724333156,195.4456005815452
3,2991037.6370614897,1,100,100,0.2,33326895.93182789,30335858.294766404,33326788.01276732,False,576020833.2019554,126024050378.88179,1.3553483705956142,999034368.3776838,684.7925779937325,195.44555724333156,195.4456005815452
