outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm
107,0.1,107.92540364216856,0.009976671666414874,0.0009976671666414875
108,0.1,107.92419847392932,0.008979750856903262,0.0008979750856903261
109,0.1,107.92322228432738,0.008090047813421803,0.0008090047813421804
110,0.1,107.92243156785442,0.007278886012510695,0.0007278886012510693
111,0.1,107.92179108543424,0.006551842164032288,0.000655184216403229
112,0.1,107.92127229313064,0.005900597148987,0.0005900597148987
113,0.1,107.92085207039003,0.00531105181020203,0.0005311051810202031
114,0.1,107.920511689107,0.004782723747066853,0.00047827237470668535
115,0.1,107.9202359796545,0.004311377785285436,0.0004311377785285437
116,0.1,107.92001265431026,0.003877084027629573,0.00038770840276295727
117,0.1,107.91983176042247,0.0034908443144284463,0.00034908443144284466
118,0.1,107.91968523602577,0.003137595693877358,0.0003137595693877358
119,0.1,107.9195665511596,0.002831683316107083,0.0002831683316107083
120,0.1,107.9194704160863,0.002546416125650092,0.0002546416125650092
121,0.1,107.91939254668866,0.002295176649949306,0.00022951766499493056
122,0.1,107.91932947227572,0.00206238639067153,0.00020623863906715304
123,0.1,107.91927838193962,0.001855946773240142,0.00018559467732401418
124,0.1,107.91923699879789,0.0016718285723322888,0.00016718285723322889
125,0.1,107.91920347825658,0.0015024598759543946,0.00015024598759543945
126,0.1,107.91917632664966,0.0013593696127604865,0.0001359369612760486
127,0.1,107.91915433383801,0.0012156493030518786,0.00012156493030518787
128,0.1,107.91913651961525,0.0010958336729996769,0.00010958336729996769
129,0.1,107.91912209000934,0.0009930670493435493,9.930670493435492e-05
130,0.1,107.91911040205306,0.0008881550574368831,8.881550574368834e-05
131,0.1,107.91910093474142,0.000806953376313675,8.06953376313675e-05
132,0.1,107.91909326630928,0.000722573987745059,7.225739877450591e-05
133,0.1,107.9190870548114,0.0006494298268625888,6.494298268625888e-05
134,0.1,107.91908202345182,0.0005857669210182152,5.857669210182152e-05
135,0.1,107.91907794815486,0.0005250650016538442,5.250650016538443e-05
136,0.1,107.91907464700198,0.00047267016633596937,4.7267016633596925e-05
137,0.1,107.91907197329638,0.00043200265462607125,4.320026546260714e-05
138,0.1,107.9190698074818,0.0003855466119135989,3.855466119135989e-05
139,0.1,107.91906805316118,0.00034690526889219134,3.469052688921914e-05
140,0.1,107.91906663209623,0.00030924945581965713,3.092494558196571e-05
141,0.1,107.91906548115257,0.0002815523931618822,2.8155239316188222e-05
142,0.1,107.91906454879316,0.00025632390209542384,2.5632390209542393e-05
143,0.1,107.91906379362041,0.00022601856275350398,2.2601856275350402e-05
144,0.1,107.91906318188958,0.00020420238067367878,2.042023806736788e-05
145,0.1,107.9190626864606,0.00018045519252456014,1.8045519252456012e-05
146,0.1,107.91906228505466,0.00016997425366481713,1.6997425366481716e-05
147,0.1,107.9190619599982,0.0001510936307154529,1.5109363071545292e-05
148,0.1,107.91906169674009,0.00013855668930171154,1.3855668930171155e-05
149,0.1,107.91906148340804,0.00012526922763481514,1.2526922763481518e-05
150,0.1,107.91906131061933,0.0001095817726428403,1.0958177264284032e-05
151,0.1,107.91906117080943,9.917968223880415e-05,9.917968223880418e-06
152,0.1,107.91906105739768,8.528221985538994e-05,8.528221985538995e-06
153,0.1,107.91906096550437,7.785012424534139e-05,7.78501242453414e-06
154,0.1,107.91906089120938,7.330001494145058e-05,7.330001494145058e-06
155,0.1,107.91906083090645,6.916539004927531e-05,6.9165390049275335e-06
156,0.1,107.91906078224122,5.8819046487351905e-05,5.881904648735191e-06
157,0.1,107.91906074263815,4.7885057385812675e-05,4.788505738581268e-06
158,0.1,107.91906071064017,4.69559358444708e-05,4.695593584447081e-06
159,0.1,107.91906068467759,4.583849252633324e-05,4.583849252633324e-06
160,0.1,107.91906066375866,3.936502588986582e-05,3.936502588986582e-06
161,0.1,107.91906064661963,4.124888819797987e-05,4.124888819797987e-06
162,0.1,107.91906063287726,3.813656669988323e-05,3.813656669988323e-06
163,0.1,107.9190606217594,3.073083930599045e-05,3.0730839305990456e-06
164,0.1,107.91906061265847,3.583668111745529e-05,3.5836681117455293e-06
165,0.1,107.91906060533087,2.803847968973632e-05,2.8038479689736323e-06
166,0.1,107.91906059947875,2.0667206128986303e-05,2.0667206128986307e-06
167,0.1,107.91906059461287,3.069057821889659e-05,3.069057821889659e-06
168,0.1,107.91906059069781,2.2289779280048788e-05,2.228977928004879e-06
169,0.1,107.91906058754864,1.9827010366677614e-05,1.982701036667762e-06
170,0.1,107.91906058510794,1.4429098752541406e-05,1.4429098752541411e-06
171,0.1,107.91906058293387,2.6275700187366327e-05,2.6275700187366327e-06
172,0.1,107.91906058132653,1.0696599145281459e-05,1.069659914528146e-06
173,0.1,107.91906057990974,2.4623162299235078e-05,2.462316229923508e-06
174,0.1,107.91906057886398,1.294593325666453e-05,1.2945933256664532e-06
175,0.1,107.91906057796359,2.320080186627955e-05,2.3200801866279554e-06
176,0.1,107.91906057729173,8.974089850925075e-06,8.974089850925076e-07
177,0.1,107.9190605766278,7.172229777576302e-06,7.1722297775763e-07
178,0.1,107.91906057622505,1.68750469218739e-05,1.6875046921873904e-06
179,0.1,107.91906057571957,1.4405136196486469e-05,1.440513619648647e-06
180,0.1,107.91906057548552,1.2383368395313288e-05,1.238336839531329e-06
181,0.1,107.91906057520374,1.3636149568009018e-05,1.3636149568009023e-06
182,0.1,107.91906057502317,9.705858992285174e-06,9.705858992285173e-07
183,0.1,107.91906057476946,1.3048464787827842e-05,1.304846478782784e-06
184,0.1,107.91906057470698,5.6436364457512365e-06,5.643636445751236e-07
185,0.1,107.91906057450987,5.919096533894846e-06,5.919096533894846e-07
186,0.1,107.91906057453463,2.15257648100848e-05,2.15257648100848e-06
187,0.1,107.9190605744066,1.6984180608156023e-05,1.6984180608156025e-06
188,0.1,107.91906057434757,7.661106938166418e-06,7.66110693816642e-07
189,0.1,107.91906057439016,7.04215875010354e-06,7.04215875010354e-07
190,0.1,107.91906057429112,1.7663914783734646e-05,1.7663914783734648e-06
191,0.1,107.91906057428255,1.5934781542900828e-05,1.5934781542900823e-06
192,0.1,107.9190605742158,1.431159281936224e-05,1.4311592819362242e-06
193,0.1,107.91906057417911,8.163881638663077e-06,8.163881638663077e-07
194,0.1,107.91906057421066,3.3292173174461406e-06,3.3292173174461414e-07
195,0.1,107.91906057426087,8.080230425735117e-06,8.080230425735117e-07
196,0.1,107.91906057414263,6.514566281710835e-06,6.514566281710837e-07
197,0.1,107.9190605741786,3.987243356886153e-06,3.987243356886153e-07
198,0.1,107.9190605740755,4.0995777794423225e-05,4.099577779442323e-06
199,0.1,107.9190605741804,2.1899002027682362e-05,2.189900202768236e-06
200,0.1,107.91906057416891,1.535404980296147e-05,1.5354049802961473e-06
201,0.1,107.91906057414006,8.901543236919685e-06,8.901543236919685e-07
202,0.1,107.919060574151,1.1050809010322756e-05,1.105080901032276e-06
203,0.1,107.91906057414371,2.8230539498669608e-05,2.8230539498669614e-06
204,0.1,107.91906057421693,7.832088587654653e-06,7.832088587654651e-07
205,0.1,107.91906057413199,1.7946840329176358e-05,1.7946840329176353e-06
206,0.1,107.91906057407215,1.563178572901477e-05,1.5631785729014774e-06
207,0.1,107.91906057409902,1.5115516429168311e-05,1.5115516429168312e-06
208,0.1,107.91906057418149,7.071675801313553e-06,7.071675801313552e-07
209,0.1,107.91906057414513,7.862268850340542e-06,7.86226885034054e-07
210,0.1,107.9190605741093,6.782698719632245e-06,6.782698719632248e-07
211,0.1,107.91906057410894,1.57545245036468e-05,1.57545245036468e-06
212,0.1,107.91906057408426,1.0729523446402671e-05,1.0729523446402674e-06
213,0.1,107.91906057413537,5.550233999080415e-06,5.550233999080415e-07
214,0.1,107.91906057408421,6.300766058831182e-06,6.300766058831183e-07
215,0.1,107.91906057412648,2.2051526965583206e-05,2.2051526965583205e-06
216,0.1,107.91906057414097,5.716300424619489e-06,5.716300424619491e-07
217,0.1,107.91906057407948,1.843969485339362e-05,1.843969485339362e-06
218,0.1,107.9190605741943,1.6304175546486217e-05,1.630417554648622e-06
219,0.1,107.91906057419837,1.7077231461124382e-05,1.707723146112438e-06
220,0.1,107.91906057409155,2.590823481016181e-06,2.5908234810161813e-07
221,0.1,107.91906057423297,1.4384380214115815e-05,1.4384380214115816e-06
222,0.1,107.91906057413351,6.30466303233977e-06,6.304663032339771e-07
223,0.1,107.91906057416968,1.5834839886482232e-05,1.5834839886482234e-06
224,0.1,107.91906057418109,2.5063789982974632e-06,2.506378998297463e-07
225,0.1,107.91906057416561,2.5009922895458013e-05,2.5009922895458015e-06
226,0.1,107.9190605741085,1.0280333742423261e-05,1.0280333742423258e-06
227,0.1,107.9190605741524,9.883612845437221e-06,9.88361284543722e-07
228,0.1,107.91906057418038,1.0955466982970374e-05,1.0955466982970374e-06
229,0.1,107.91906057409138,1.5521745144761262e-05,1.5521745144761263e-06
230,0.1,107.91906057409437,2.264911192108624e-06,2.2649111921086247e-07
231,0.1,107.91906057414037,2.1518704839837557e-05,2.1518704839837554e-06
232,0.1,107.9190605741805,1.7465090955223672e-05,1.7465090955223677e-06
233,0.1,107.91906057416617,7.931277028737306e-06,7.931277028737306e-07
234,0.1,107.91906057408266,2.5963686980114293e-05,2.5963686980114286e-06
235,0.1,107.91906057411087,1.0498272517445935e-05,1.0498272517445936e-06
236,0.1,107.91906057405397,4.492409304152307e-06,4.492409304152307e-07
237,0.1,107.91906057419351,1.4675593380163318e-05,1.4675593380163319e-06
238,0.1,107.91906057412213,2.2810571740122463e-05,2.2810571740122463e-06
239,0.1,107.91906057412852,1.512001220219594e-05,1.512001220219594e-06
240,0.1,107.91906057418316,1.010879433662824e-05,1.0108794336628238e-06
241,0.1,107.91906057413816,1.117161932100061e-05,1.1171619321000611e-06
242,0.1,107.9190605741466,1.375661008158349e-05,1.3756610081583486e-06
243,0.1,107.91906057410945,1.7200674341444248e-05,1.7200674341444251e-06
244,0.1,107.91906057414377,1.1592760023532341e-05,1.1592760023532342e-06
245,0.1,107.91906057408096,1.3269102270929438e-05,1.326910227092944e-06
246,0.1,107.9190605741902,1.4766126583465652e-05,1.4766126583465656e-06
247,0.1,107.91906057419354,7.80674242974446e-06,7.806742429744459e-07
248,0.1,107.91906057415721,1.6874849353090204e-05,1.6874849353090205e-06
249,0.1,107.91906057413495,8.540036591075069e-06,8.540036591075068e-07
250,0.1,107.91906057406308,5.267863563852343e-06,5.267863563852342e-07
251,0.1,107.91906057409557,1.57915640096957e-05,1.5791564009695705e-06
252,0.1,107.91906057407353,1.4066601553407163e-05,1.4066601553407158e-06
253,0.1,107.9190605741441,9.237593798829929e-06,9.237593798829929e-07
254,0.1,107.91906057411397,1.2875736301193105e-05,1.2875736301193103e-06
255,0.1,107.91906057408586,2.366493912664701e-05,2.366493912664701e-06
256,0.1,107.91906057413529,3.6280788940775864e-06,3.628078894077586e-07
257,0.1,107.9190605741921,8.257447118703075e-06,8.257447118703078e-07
258,0.1,107.91906057415962,6.038040573115751e-06,6.03804057311575e-07
259,0.1,107.91906057419456,1.2032493348247968e-05,1.2032493348247968e-06
260,0.1,107.91906057415656,2.0708123621103855e-05,2.0708123621103856e-06
261,0.1,107.91906057411035,2.1451031936081304e-05,2.1451031936081307e-06
262,0.1,107.91906057412032,6.278281740301377e-06,6.278281740301377e-07
263,0.1,107.91906057412947,1.8463468624671602e-05,1.84634686246716e-06
264,0.1,107.91906057410803,6.051191430469867e-06,6.051191430469867e-07
265,0.1,107.91906057414444,9.8589734399858e-06,9.8589734399858e-07
266,0.1,107.9190605741487,1.10367558810815e-05,1.10367558810815e-06
267,0.1,107.91906057412501,1.0211691862642505e-05,1.0211691862642507e-06
268,0.1,107.91906057409425,5.0580516842213e-06,5.0580516842213e-07
269,0.1,107.91906057406415,7.095388385873995e-06,7.095388385873997e-07
270,0.1,107.91906057411255,6.876414109024814e-06,6.876414109024814e-07
271,0.1,107.91906057404958,9.271712743678527e-06,9.271712743678526e-07
272,0.1,107.91906057415936,1.6271471306198906e-05,1.6271471306198902e-06
273,0.1,107.9190605741109,1.2889462530327256e-05,1.2889462530327258e-06
274,0.1,107.91906057403602,1.9580143556967257e-05,1.9580143556967255e-06
275,0.1,107.91906057417403,9.385393022922198e-06,9.3853930229222e-07
276,0.1,107.91906057411244,3.514717785363213e-06,3.514717785363213e-07
