outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
13,49773.97161585936,True,0.02418339350131265,1,225.41688088345498,2496754.0856122,1.7753086257986655e-09,65808.43046718652,64470.704069745036,0.9796724160119803,0.5643213014772362
14,28925.103506161846,True,0.008061131167104215,1,268.0807140714014,981712.4389838172,5.831776399856756e-10,21691.95015844139,20848.868109697512,0.961133874889723,0.4188708964316299
15,21019.35876452171,True,0.004295601422571742,1,293.790388508557,193601.59844311827,2.340658096552499e-10,8903.328683068226,7905.744741640137,0.8879538230094516,0.2733177684206383
16,18422.405604989603,True,0.008004414696737058,2,158.30816708729648,53758.979128180006,2.5097743028416764e-10,3686.8456323265546,2596.953159532106,0.7043834807624748,0.12355054160431707
17,15791.402695304618,True,0.004150184790382926,1,117.65437706619322,38738.425475066826,2.4353934688183025e-10,2949.8932374798696,2631.002909684985,0.8918976715010484,0.1428153828603357
18,13825.644639528813,True,0.0015561579498707093,1,139.29928188207379,9031.558648117254,8.231677397671763e-10,2119.4091803913634,1965.7580557758047,0.927502850305109,0.1244828020477433
19,12034.134073025194,True,0.0008172172331295815,1,194.9881266177706,5728.5897688407085,1.0750732819037742e-09,2012.7489933182173,1791.510566503619,0.8900814619462982,0.12957880903299962
20,10551.182913110477,True,0.0006358314055547766,1,209.20314161436727,5583.7643678764025,2.7732912244446694e-09,1847.379688239609,1482.9511599147172,0.8027321992090536,0.12322873842986248
21,9323.494125305813,True,0.0006119030788573766,1,198.31072566895523,13824.344357228643,3.280730156941393e-09,1839.079702086849,1227.6887878046637,0.6675560533953885,0.11635555917424072
22,9310.664270918549,True,0.0023839475113447304,2,164.72082233873883,16313.886501308067,1.164070253475263e-09,1453.7783711365066,12.829854387264277,0.008825179024526553,0.0013760779183033436
23,8959.944947934973,True,0.0029282630136296425,1,131.49506800634506,4578.266021724796,3.968593840001707e-10,1804.1204020835348,350.7193229835757,0.19439906703484894,0.03766856077917363
24,8716.137098186846,True,0.003910850020329616,1,109.6733036757953,1943.797125288052,3.724079779877078e-10,1598.1992295271798,243.8078497481274,0.15255160010323424,0.0272108647056273
25,8296.144853853553,True,0.0042383606912623694,1,97.59562636222046,1555.0305254322006,2.3292609089224803e-10,1493.3236952790353,419.99224433329255,0.2812466216541316,0.048185594100012545
26,7991.76496018624,True,0.004677586714843918,1,86.10600635491127,1350.7757888725941,2.2131564765327188e-10,1147.9758059219703,304.3798936673129,0.2651448681210291,0.03668931763238544
27,7723.663416609806,True,0.005032441329592249,1,77.88281001262514,1263.559341685038,2.4125454675617537e-10,929.8220996659003,268.1015435764348,0.2883363857158997,0.03354722578955662
28,7492.803644637252,True,0.00528280539497088,1,69.47338161644367,1206.5195278568945,2.546560963900446e-10,730.3241151596719,230.85977197255397,0.3161059140462324,0.029889931696931278
29,7311.303363078083,True,0.005526294069455275,1,62.195175406850154,1155.769456138035,2.700814312166562e-10,565.8977444815324,181.5002815591688,0.3207298197052487,0.024223280118794006
30,7145.237118592811,True,0.005621401542534738,1,55.131185540609344,1122.2446376139876,1.6608996043456093e-10,447.72806092350845,166.06624448527145,0.37090872558386023,0.02271363069461763
31,7013.964244293888,True,0.005700566881257798,1,49.12241359325349,1090.063150547955,1.4468784591365625e-10,346.1329451582727,131.27287429892294,0.3792556476786603,0.018372080886907772
32,6889.924695037928,True,0.005708971150579868,1,43.31913431374031,1066.1692216708889,1.761058789752108e-10,279.940072061264,124.03954925596008,0.4430932247128036,0.01768465662722343
33,6784.114473469068,True,0.005709903751469356,1,38.598198018056884,1043.4536558276518,2.0395723464119113e-10,223.85771848834082,105.81022156886047,0.4726672919002852,0.01535723919378454
34,6682.658308362225,True,0.005706011106283976,1,34.02104136413334,1023.3959791338248,1.5677584271997626e-10,186.49835814290742,101.45616510684249,0.5440056744580027,0.014954960666364274
35,6590.451584056071,True,0.005669055821020302,1,30.231010959683115,1004.1845534462994,2.1795256822374263e-10,155.4394051232162,92.20672430615468,0.593200445106328,0.013797910958693406
36,6501.337610727459,True,0.005461889463949732,1,26.816895961581736,985.5238105025475,1.0530961714881765e-10,133.82026885198255,89.11397332861179,0.6659228388427466,0.013521679386007552
37,6415.242393871752,True,0.004982362442870993,1,24.308613850341036,967.8660635692951,1.5353966675256227e-10,119.20826259594598,86.0952168557069,0.7222252466469116,0.013242692813498326
38,6325.150643406082,True,0.004058346866276794,1,23.338483914593613,953.4364536700256,1.3785661472502143e-10,114.7467508404876,90.09175046566997,0.7851355250216089,0.014043389935153713
39,6221.906264175941,True,0.0029525534846247064,1,24.951936639232528,943.6578429180659,2.0053014598878296e-10,125.2738946444782,103.24437923014102,0.8241491934384576,0.01632283324947722
40,6087.296048042231,True,0.0018809287638447453,1,30.672150031486282,950.2042433319697,1.6682769731740434e-10,157.13418522824074,134.6102161337103,0.8566577408867848,0.02163488333290388
41,5895.833678344163,True,0.0012617089240795393,1,45.582794717058555,981.615810950482,2.7553322548015593e-10,226.51698572376384,191.46236969806796,0.845245088735002,0.031452777750089096
42,5636.655499516438,True,0.0009489028214422673,1,64.90451141497778,1126.597243608955,4.811683655688646e-10,318.35950301844764,259.1781788277249,0.8141053631834152,0.043959547193419934
43,5354.237805290884,True,0.0009025354609459546,1,95.85095737962281,1283.2804967518507,4.639819016781237e-10,413.6193830918465,282.41769422555353,0.6827960820270387,0.05010377062245188
44,5180.7013623477405,True,0.0009276456390595485,1,114.7023987752329,1494.0015000957515,8.891228215073855e-10,497.96206649844845,173.5364429431438,0.3484932982213104,0.03241104509247997
