inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
1,0.9845245813401571,92645263.01647142,92645263.01647142,920.4018171011448,920.4018171011448,694.2913631768122,1.0404117142108351,1.0404117142108351,7.864252580092059,7.86425258009206,0.0,0.0,line_search,15,3,100,message_conditioned_information
2,0.9794667053294351,15781837.256428102,15781837.256428102,136.7367714392579,136.7367714392579,-89.37368248507482,1.165418138838036,1.165418138838036,7.539517439686794,7.539517439686795,0.0,0.0,line_search,15,3,100,message_conditioned_information
3,1.0641419455529568,6284994.391795488,6284996.9426375395,110.89582436468258,108.59561772246923,-117.51483620186349,7.886364820444493,1.2919562880931221,7.376457004043883,7.376457004043882,7.376457004043882,1.0,line_search,15,3,100,message_conditioned_information
1,1.0937395281017452,1641872308.0403442,1641872308.0403442,255690.0876463094,255690.0876463094,255434.0438633814,5.924914192503905,5.924914192503905,4.053188101082446,4.053188101082445,0.0,0.0,line_search,16,3,100,message_conditioned_information
2,1.0954359105475946,577106895.2852702,577106895.2852702,31348.53784744096,31348.53784744096,31092.49406451296,5.138315292461928,5.138315292461928,4.751345407986717,4.751345407986717,0.0,0.0,line_search,16,3,100,message_conditioned_information
3,1.0968135237497505,244813795.03167373,244813795.03167373,5750.985211743094,5750.985211743094,5494.941428815094,4.898601611528497,4.898601611528497,5.123619433862016,5.123619433862017,0.0,0.0,line_search,16,3,100,message_conditioned_information
1,0.5884749456751475,2914006212.440642,2914006682.8956475,794378.0410076249,789069.2862259984,788851.0104148255,25.53683428895648,28.14224507189461,7.723960877334724,7.723960877334725,7.723960877334725,1.0,line_search,17,3,100,message_conditioned_information
2,0.1953592412216446,1396694569.9471548,1396694593.143487,169310.1068680435,169307.61318871618,169089.33737754327,24.407896515995333,24.518713231266002,2.427555704944526,2.427555704944526,0.2427555704944527,0.1,line_search,17,3,100,message_conditioned_information
3,0.14587991172804138,687806917.1119001,687806917.1119001,38612.56767549684,38612.56767549684,38394.29186432394,23.646740667186275,23.646740667186275,1.2706275268161946,1.270627526816195,0.0,0.0,line_search,17,3,100,message_conditioned_information
1,1.757207885766559,1975954815.500992,1975954646.6923378,341811.8747607669,341148.2816177923,341037.88530298194,4.5682857058368604,7.316053687125823,3.7132523761816634,3.7132523761816634,3.7132523761816634,1.0,line_search,18,3,100,message_conditioned_information
2,1.3106668648333673,228909910.61105892,228909931.67544195,4976.538860812754,4973.87687116205,4863.480556351679,3.7590592233756137,4.514982744186736,2.7538301248456687,2.753830124845669,1.3769150624228346,0.5,line_search,18,3,100,message_conditioned_information
3,1.3085129351185056,63147804.70092913,63147815.31618314,487.6196555111929,485.40961336426705,375.0132985538967,3.654926413967148,3.6944415845659355,0.5699763328666667,0.5699763328666668,0.5699763328666668,1.0,line_search,18,3,100,message_conditioned_information
1,12.96457524400314,30531453218.101723,30531453218.101723,81158919.50509307,81158919.50509307,81158810.78209692,62.623812496891816,62.623812496891816,42.32202248222497,42.32202248222497,0.0,0.0,line_search,19,3,100,message_conditioned_information
2,5.713028821187559,3441945972.7167473,3441946500.472181,1565399.2012187238,1440139.5911465148,1440030.8681503735,31.00307644889349,55.69525066233339,45.07533901329004,45.07533901329005,45.07533901329005,1.0,line_search,19,3,100,message_conditioned_information
3,13.66034518722847,1581788568.8843415,1581788568.8843415,240736.05731023377,240736.05731023377,240627.33431409247,70.63584074587574,70.63584074587574,48.793222942708745,48.79322294270874,0.0,0.0,line_search,19,3,100,message_conditioned_information
1,0.3693714375323023,746122177.2857249,746122409.1149735,48572.83652302736,47296.687892026894,47136.02166357878,48.01299542093212,6.383572603409569,44.90714472799749,44.9071447279975,44.9071447279975,1.0,line_search,20,3,100,message_conditioned_information
2,0.2625295186572533,1459985018.608949,1459985227.631843,255137.85165931346,229917.44668304906,229756.78045460093,57.39790127182478,111.80786273401576,54.54547740544729,54.5454774054473,54.5454774054473,1.0,line_search,20,3,100,message_conditioned_information
3,1.3065866830845232,1805481518.3999119,1805481518.3999119,301824.37416850514,301824.37416850514,301663.70794005704,20.809945055655042,20.809945055655042,66.55228184586616,66.55228184586618,0.0,0.0,line_search,20,3,100,message_conditioned_information
