outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
38,1,True,0.004388170539708932,6150.159297275421,6019.00960445673,131.1496928186907,708.1230753134175,0.1852074835446415,64.61868659369246,1450.9552726043491,1.782276388033653e-10
39,1,True,0.005483252645657722,6019.00960445673,5813.052756047949,205.9568484087813,592.8849085007234,0.3473808246015255,50.61745834031183,1145.6125086585232,9.903795199727802e-11
40,1,True,0.0056391919354801,5813.052756047949,5663.53720921653,149.51554683141876,405.67941804602793,0.3685559093719043,42.10312176479759,1096.557316335934,1.5715084187209198e-10
41,1,True,0.005741646205180304,5663.53720921653,5552.339449648252,111.19775956827743,299.6193344263688,0.37113012009444996,36.044105343493506,1044.1363426295159,1.569212449240998e-10
42,1,True,0.005839952354852723,5552.339449648252,5455.938212825988,96.40123682226476,235.28017756933147,0.4097295310560432,32.07683166299552,1041.050352370151,1.4459047457429422e-10
43,1,True,0.005874318940495009,5455.938212825988,5363.834438060623,92.1037747653645,196.16445398458336,0.46952326425358887,28.306134902796636,1000.6630525400101,8.119049395092806e-11
44,1,True,0.005875649250501223,5363.834438060623,5276.873375943714,86.96106211690949,166.85026072450864,0.5211922459054077,26.04793327212386,999.2870446078081,1.696985521222372e-10
45,1,True,0.0058752018702557035,5276.873375943714,5182.9769012799825,93.89647466373117,154.04669215018666,0.6095325602460033,23.81315072784611,965.0298376369211,4.840904120259238e-11
46,1,True,0.005813436862858566,5182.9769012799825,5090.677017694378,92.29988358560422,141.05092764568138,0.6543727512197628,22.53467976536851,963.6896494065164,9.940718720138975e-11
47,1,True,0.005642342823487691,5090.677017694378,4998.0967726902945,92.58024500408374,135.68450126117943,0.6823199712830561,21.65163912244986,932.8662055121922,1.0694942347033276e-10
48,1,True,0.005368783079740638,4998.0967726902945,4919.874058819974,78.22271387032015,124.7763752447957,0.6269032396305545,21.655630156201813,933.5170283397099,9.244582390993727e-11
49,1,True,0.005281005425373828,4919.874058819974,4846.781872851345,73.09218596862956,122.22384769277484,0.5980190228698744,21.70340047280965,905.7458098133984,8.702912824073888e-11
