followup_c,followup_k,beta,post_objective,x_rel_to_direct,objective_improvement_vs_geom,candidate_e_rel_to_exact,candidate_linear_residual
2,300,0.01,11381.643485534916,0.0008320888408575278,237.40952588280925,10.022591388270389,13344976.422051731
2,300,0.005,11500.037003696863,0.0008740497164925191,119.01600772086204,10.022591388270389,13344976.422051731
5,300,1.0,146.7194088918487,0.0062285390626475295,11472.333602525876,6.861085931542555,25150789.14193442
5,300,0.8,808.7605240485416,0.004851321583641125,10810.292487369185,6.861085931542555,25150789.14193442
5,300,0.5,3354.760179015601,0.002799189256027272,8264.292832402125,6.861085931542555,25150789.14193442
5,300,0.3,6066.301096925354,0.001470283475813456,5552.751914492372,6.861085931542555,25150789.14193442
5,300,0.2,7720.945018830207,0.0008733447207860985,3898.1079925875183,6.861085931542555,25150789.14193442
5,300,0.1,9572.455617140798,0.0005677182726872315,2046.597394276927,6.861085931542555,25150789.14193442
5,300,0.05,10571.479493281675,0.0006793794995422286,1047.5735181360506,6.861085931542555,25150789.14193442
5,300,0.02,11194.211839030408,0.0008124882050721542,424.8411723873178,6.861085931542555,25150789.14193442
5,300,0.01,11405.664979587566,0.000863424648598503,213.3880318301599,6.861085931542555,25150789.14193442
5,300,0.005,11512.117244872263,0.0008898198146844295,106.93576654546268,6.861085931542555,25150789.14193442
5,100,1.0,1162.3153444219988,0.006543989881451661,10456.737666995727,7.205956260794781,109220907.77700262
5,100,0.8,2335.0111951631293,0.005101414703163803,9284.041816254596,7.205956260794781,109220907.77700262
5,100,0.5,4963.976724062272,0.0029500618550149012,6655.076287355453,7.205956260794781,109220907.77700262
5,100,0.3,7288.4488531004,0.0015514056556728013,4330.6041583173255,7.205956260794781,109220907.77700262
5,100,0.2,8620.154273128219,0.0009134418617694226,2998.8987382895066,7.205956260794781,109220907.77700262
5,100,0.1,10063.91856304758,0.0005587847408846734,1555.134448370145,7.205956260794781,109220907.77700262
5,100,0.05,10827.607505115064,0.0006671230293421104,791.4455063026617,7.205956260794781,109220907.77700262
5,100,0.02,11299.149518395252,0.0008067109555833043,319.9034930224734,7.205956260794781,109220907.77700262
5,100,0.01,11458.547507676356,0.0008604452355267095,160.50550374136947,7.205956260794781,109220907.77700262
5,100,0.005,11538.661863163436,0.0008883110530362059,80.39114825428987,7.205956260794781,109220907.77700262
3,50,1.0,1484.2061624575852,0.008128544095946749,10134.84684896014,8.943323608008052,115882752.33378154
3,50,0.8,2711.9713677205064,0.006357834961983266,8907.08164369722,8.943323608008052,115882752.33378154
3,50,0.5,5297.907736290774,0.0037097253961755005,6321.145275126952,8.943323608008052,115882752.33378154
3,50,0.3,7522.688950770724,0.001966377226377064,4096.364060647002,8.943323608008052,115882752.33378154
3,50,0.2,8786.519645329068,0.0011323936514962087,2832.533366088657,8.943323608008052,115882752.33378154
3,50,0.1,10151.8414302241,0.0005230547592765096,1467.2115811936255,8.943323608008052,115882752.33378154
3,50,0.05,10872.686063717792,0.0006000584398523498,746.366947699933,8.943323608008052,115882752.33378154
3,50,0.02,11317.44036204384,0.0007752624951103853,301.6126493738848,8.943323608008052,115882752.33378154
3,50,0.01,11467.735442248006,0.0008443130052443239,151.31756916971972,8.943323608008052,115882752.33378154
3,50,0.005,11543.266390761994,0.0008801642978847266,75.7866206557319,8.943323608008052,115882752.33378154
