outer,start_objective,c,k,beta,post_objective,delta,improves
21,107.9379156604909,2,300,0.05,107.9403949538893,0.0024792933983945886,False
21,107.9379156604909,2,300,0.02,107.93763200324813,-0.0002836572427753481,True
21,107.9379156604909,3,200,1.0,146.97640075589436,39.03848509540346,False
21,107.9379156604909,3,200,0.7,127.2811604654017,19.343244804910796,False
21,107.9379156604909,3,200,0.5,117.88209228802164,9.944176627530737,False
21,107.9379156604909,3,200,0.3,111.54681973319472,3.6089040727038224,False
21,107.9379156604909,3,200,0.2,109.54940769591272,1.6114920354218185,False
21,107.9379156604909,3,200,0.1,108.34357003265802,0.4056543721671204,False
21,107.9379156604909,3,200,0.05,108.04018062016293,0.10226495967202709,False
21,107.9379156604909,3,200,0.02,107.95461756185077,0.016701901359866156,False
21,107.9379156604909,4,200,1.0,220.58090953598204,112.64299387549114,False
21,107.9379156604909,4,200,0.7,163.3514849753219,55.41356931483101,False
21,107.9379156604909,4,200,0.5,136.274709662606,28.3367940021151,False
21,107.9379156604909,4,200,0.3,118.15294580069154,10.21503014020064,False
21,107.9379156604909,4,200,0.2,112.47545781326713,4.537542152776226,False
21,107.9379156604909,4,200,0.1,109.06706693283832,1.1291512723474142,False
21,107.9379156604909,4,200,0.05,108.21695191986475,0.27903625937385357,False
21,107.9379156604909,4,200,0.02,107.9809194595108,0.0430037990198997,False
21,107.9379156604909,5,200,1.0,157.03381047080552,49.09589481031462,False
21,107.9379156604909,5,200,0.7,132.59530588824757,24.657390227756665,False
21,107.9379156604909,5,200,0.5,120.72878155097412,12.790865890483218,False
21,107.9379156604909,5,200,0.3,112.62312709892714,4.685211438436241,False
21,107.9379156604909,5,200,0.2,110.04061092432767,2.1026952638367646,False
21,107.9379156604909,5,200,0.1,108.47069295675576,0.5327772962648538,False
21,107.9379156604909,5,200,0.05,108.07312002893663,0.13520436844572714,False
21,107.9379156604909,5,200,0.02,107.96031512553583,0.02239946504492707,False
21,107.9379156604909,5,300,1.0,110.12364376794523,2.1857281074543238,False
21,107.9379156604909,5,300,0.7,109.14081520240175,1.2028995419108526,False
21,107.9379156604909,5,300,0.5,108.59926248741779,0.6613468269268878,False
21,107.9379156604909,5,300,0.3,108.1942303190322,0.2563146585412994,False
21,107.9379156604909,5,300,0.2,108.05623820110746,0.11832254061656045,False
21,107.9379156604909,5,300,0.1,107.9688178731693,0.030902212678398655,False
21,107.9379156604909,5,300,0.05,107.94592162380708,0.008005963316179532,False
21,107.9379156604909,5,300,0.02,107.93928171813234,0.0013660576414338266,False
22,107.9342760837199,2,100,1.0,120710.71185418402,120602.7775781003,False
22,107.9342760837199,2,100,0.7,53736.09012709688,53628.155851013165,False
22,107.9342760837199,2,100,0.5,25684.94316550981,25577.008889426088,False
22,107.9342760837199,2,100,0.3,8695.775153436405,8587.840877352684,False
22,107.9342760837199,2,100,0.2,3791.1247644727446,3683.1904883890247,False
22,107.9342760837199,2,100,0.1,996.3508183754719,888.4165422917521,False
22,107.9342760837199,2,100,0.05,326.28391402662305,218.34963794290314,False
22,107.9342760837199,2,100,0.02,142.6336307084371,34.6993546247172,False
22,107.9342760837199,2,200,1.0,26441.33314200031,26333.398865916588,False
22,107.9342760837199,2,200,0.7,12976.230671451147,12868.296395367426,False
22,107.9342760837199,2,200,0.5,6661.953683963218,6554.019407879498,False
22,107.9342760837199,2,200,0.3,2463.7668250009756,2355.8325489172557,False
22,107.9342760837199,2,200,0.2,1154.467040715231,1046.532764631511,False
22,107.9342760837199,2,200,0.1,369.69240737030606,261.75813128658615,False
22,107.9342760837199,2,200,0.05,173.53074612225592,65.59647003853603,False
22,107.9342760837199,2,200,0.02,118.51714915793659,10.582873074216693,False
22,107.9342760837199,2,300,1.0,2720.7702659410693,2612.8359898573494,False
22,107.9342760837199,2,300,0.7,1393.7602547251354,1285.8259786414155,False
22,107.9342760837199,2,300,0.5,766.0295651157265,658.0952890320067,False
22,107.9342760837199,2,300,0.3,345.76166597314216,237.82738988942225,False
22,107.9342760837199,2,300,0.2,213.93785759451376,106.00358151079386,False
22,107.9342760837199,2,300,0.1,134.5937902005945,26.659514116874604,False
22,107.9342760837199,2,300,0.05,114.66566087927839,6.731384795558498,False
22,107.9342760837199,2,300,0.02,109.0415816509463,1.1073055672264047,False
22,107.9342760837199,3,200,1.0,14752.1624991018,14644.228223018079,False
22,107.9342760837199,3,200,0.7,7105.846328287504,6997.912052203784,False
22,107.9342760837199,3,200,0.5,3618.7579715490733,3510.8236954653535,False
22,107.9342760837199,3,200,0.3,1350.9224017804827,1242.9881256967628,False
22,107.9342760837199,3,200,0.2,655.9690307317021,548.0347546479823,False
22,107.9342760837199,3,200,0.1,244.02604598687918,136.09176990315927,False
22,107.9342760837199,3,200,0.05,141.94415911948013,34.00988303576024,False
22,107.9342760837199,3,200,0.02,113.42641072617994,5.492134642460044,False
22,107.9342760837199,4,200,1.0,4305.768727784434,4197.834451700714,False
22,107.9342760837199,4,200,0.7,2123.921216554852,2015.9869404711321,False
22,107.9342760837199,4,200,0.5,1122.5327880027303,1014.5985119190104,False
22,107.9342760837199,4,200,0.3,468.0150255729794,360.0807494892595,False
22,107.9342760837199,4,200,0.2,266.71479402818505,158.78051794446515,False
