base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,20,40,0.05,99186007115.6734,-99182656947.26257,1.2674129809804842,-0.03614215768928397,20392825685603.023,2.5844161462416744,45249787207601.19,5.331115581554101,5.331114673175018
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,20,40,0.02,15791106286.757818,-15787756118.346992,1.2439385539816126,-0.012667730690412382,20392825685603.023,2.5844161462416744,45249787207601.19,5.331115581554101,5.331114673175018
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,20,40,0.01,3943483528.157894,-3940133359.7470684,1.2373001722241914,-0.00602934893299123,20392825685603.023,2.5844161462416744,45249787207601.19,5.331115581554101,5.331114673175018
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,20,40,0.005,987527981.0908984,-984177812.6800729,1.2342088193359573,-0.002937996044757085,20392825685603.023,2.5844161462416744,45249787207601.19,5.331115581554101,5.331114673175018
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,20,40,0.002,160734104.16987944,-157383935.75905395,1.2324275510301157,-0.0011567277389155084,20392825685603.023,2.5844161462416744,45249787207601.19,5.331115581554101,5.331114673175018
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,20,40,0.001,42688118.61046739,-39337950.19964189,1.2318461031649945,-0.0005752798737943543,20392825685603.023,2.5844161462416744,45249787207601.19,5.331115581554101,5.331114673175018
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,1.0,1058764530.6305339,-1055414362.2197084,0.5645697737479121,0.6667010495432881,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.8,499102280.55516917,-495752112.1443437,0.6313229401739613,0.5999478831172389,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.5,108089205.36127454,-104739036.95044905,0.8275863740790618,0.4036844492121384,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.3,23952413.569640152,-20602245.158814654,0.986263241317862,0.24500758197333816,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.2,9137616.320277471,-5787447.909451975,1.0681093973306677,0.1631614259605325,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.1,3854759.931777824,-504591.5209523272,1.150059824204998,0.08121099908620222,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.05,3244777.660619412,105390.75020608492,1.190802809618327,0.040468013672873226,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.02,3247344.5545832156,102823.85624228138,1.2151217889524748,0.016149034338725388,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.01,3290509.4200415662,59658.990783930756,1.2232030771663178,0.008067746124882369,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.005,3318440.839149936,31727.571675560903,1.2272386803744968,0.004032142916703396,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.002,3337042.225934001,13126.184891495854,1.2296583860960544,0.0016124371951458105,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,50,100,0.001,3343534.4670462753,6633.943779221736,1.2304646750815897,0.0008061482096104466,26408356429.998318,0.539360146587526,1058764530.6305339,0.1612030066969235,0.16120301186571814
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,100,200,1.0,981447090.0653876,-978096921.6545621,0.646121929399714,0.5851488938914862,4009056440.1911416,0.6107606220392588,981447090.0653876,0.09676196644501779,0.09676198687320509
initial,3350168.410825497,1.2312708232912002,902153322.0538718,0.06768441081803492,2,100,200,0.8,418035088.394034,-414684919.98320854,0.6899653951234432,0.541305428167757,4009056440.1911416,0.6107606220392588,981447090.0653876,0.09676196644501779,0.09676198687320509
