inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,outer,inner_cycles,pre_sweeps,basis_source
2,0.9118444080999281,161709241.80260134,161709268.41827852,2583.0801424344295,2562.8676925911514,2377.4721661546855,2.763416084481496,6.357807690102557,6.824321717014708,6.82432171701471,6.82432171701471,1.0,14,2,100,message_conditioned_information
1,0.9096743543470145,349077377.8356849,349077438.6529562,11358.796501286357,11325.738203049657,11198.235186467768,2.5175031207898617,1.54450718428057,2.8189781668430953,2.8189781668430953,2.8189781668430953,1.0,15,2,100,message_conditioned_information
2,0.8007969933817779,91980624.77875318,91980642.53236048,860.1798909133906,861.2004195658067,733.6974029839159,5.469845847984933,6.285884936977624,1.928493137005066,1.9284931370050662,1.9284931370050662,1.0,15,2,100,message_conditioned_information
1,0.9385244541554769,335730983.0541067,335730928.43943745,10685.473565168844,10771.383067005469,10637.385552539787,1.5249036466394097,2.2235672337800203,2.854839765162565,2.854839765162566,2.854839765162566,1.0,16,2,100,message_conditioned_information
2,0.8185667741651449,44938519.02012869,44938530.233382374,300.8183902776873,306.63141997829837,172.63390551261625,4.004139216875349,5.234072413588578,2.2190328772932837,2.2190328772932837,2.2190328772932837,1.0,16,2,100,message_conditioned_information
1,0.9506389770198533,396538802.3860053,396538755.38738626,14542.418651369162,14621.518547153335,14507.762548500164,1.6492851979738448,2.4645604027456036,2.539478938476399,2.539478938476399,2.539478938476399,1.0,17,2,100,message_conditioned_information
2,0.829370111034429,8033500.289281217,8033503.087159778,114.91201271800716,114.37363762961262,0.6176389764416825,3.0751585653187186,4.522200003961076,2.6863062786193495,2.6863062786193495,2.6863062786193495,1.0,17,2,100,message_conditioned_information
1,0.9649615857181736,617384308.075602,617384615.9304096,36307.761843330314,36356.63153638487,36238.426108662694,2.0627541867540935,4.978619949999088,4.242960604972054,4.242960604972053,4.242960604972053,1.0,18,2,100,message_conditioned_information
2,0.8434620165892915,6403129.2250046935,6403133.7554431865,116.23605664517947,115.95713180060088,-2.2482959215744387,2.364064591605782,6.164467889177049,4.5410447974541,4.5410447974540995,4.5410447974540995,1.0,18,2,100,message_conditioned_information
1,0.9536206321988085,382842007.0920683,382842074.9310817,13620.349298630386,13676.851386256216,13558.799635142665,1.4851329719680444,1.4420194385770992,1.0250361856244303,1.0250361856244306,1.0250361856244306,1.0,19,2,100,message_conditioned_information
2,0.8587525910415008,50643088.780561835,50643099.92342105,355.00539318625465,350.0872058738584,232.03545476030712,2.0350350734064033,2.353969093713978,1.0593063870792168,1.059306387079217,1.059306387079217,1.0,19,2,100,message_conditioned_information
1,1.0947775213135964,35231827.20818982,35231816.62524727,259.9270776454684,256.14021204475324,145.04870543887748,1.2127728686193673,1.890499476529076,1.348938653972138,1.348938653972138,1.348938653972138,1.0,20,2,100,message_conditioned_information
2,0.970506781100709,40054184.326251544,40054191.777572066,257.5172620000491,256.25215621593634,145.16064961006057,0.41272959126750863,2.2084905041817677,2.463905557399235,2.463905557399235,2.463905557399235,1.0,20,2,100,message_conditioned_information
