experiment,cycle,k_used,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact,pre_residual_ratio
fixed_k_10,85,10,387005425025.5014,1445231037552470.0,1445231037552470.0,11057954304495.82,1.0
fixed_k_10,86,10,588490970577.99,2197657606331140.0,2197657606331139.5,16815025941383.123,1.0
fixed_k_10,87,10,894875368811.7277,3341817902585528.0,3341817902585528.0,25569385586485.957,1.0
fixed_k_10,88,10,1360771814254.6873,5081659154669242.0,5081659154669241.0,38881502862350.5,1.0
fixed_k_50,0,0,0.03499792225302882,207.4875331380065,207.4875331380065,1.0,1.0
fixed_k_50,1,50,0.008125026578715269,7.072913388163958,7.072913388164023,0.23215739837105576,1.0
fixed_k_50,2,50,0.001401370684816666,1.2546014906360676,1.2546014906361702,0.04004153945538279,1.0
fixed_k_50,3,50,0.0005061081337540132,0.5444119897376695,0.5444119897377101,0.014461090865026362,1.0
fixed_k_50,4,50,0.0005011786009031257,0.47064944160599453,0.4706494416060431,0.014320238705394958,1.0
fixed_k_50,5,50,0.00041747252102937996,0.38470504735348854,0.38470504735341104,0.01192849444204533,1.0
fixed_k_50,6,50,0.0003466568768377534,0.3174676906985356,0.3174676906986183,0.009905070200558572,1.0
fixed_k_50,7,50,0.00028624477148257705,0.26173216098318813,0.2617321609832466,0.008178907578062836,1.0
fixed_k_50,8,50,0.00023612100974659657,0.21579320365552743,0.2157932036555154,0.006746715076150711,1.0
fixed_k_50,9,50,0.00019468869427578868,0.17791377249830534,0.1779137724982478,0.005562864358553296,1.0
fixed_k_50,10,50,0.0001605285775574539,0.1466831546253244,0.14668315462536452,0.004586803077867443,1.0
fixed_k_50,11,50,0.00013234152027667546,0.1209345636733326,0.12093456367327333,0.00378141077543815,1.0
fixed_k_50,12,50,0.00010912011064411176,0.09970582679635485,0.09970582679640388,0.003117902537378896,1.0
fixed_k_50,13,50,8.995594680251969e-05,0.08220355250902271,0.08220355250905119,0.0025703224951740843,1.0
fixed_k_50,14,50,7.41745619927744e-05,0.06777361378117748,0.06777361378116191,0.0021193990148337854,1.0
fixed_k_50,15,50,6.114463985201875e-05,0.05587669036697487,0.05587669036717476,0.0017470934262520843,1.0
fixed_k_50,16,50,5.0420751000453626e-05,0.0460681458434293,0.04606814584337618,0.0014406784090607832,1.0
fixed_k_50,17,50,4.156054878419522e-05,0.037981381487315946,0.03798138148728104,0.0011875147482301193,1.0
fixed_k_50,18,50,3.427443370837811e-05,0.03131416407255366,0.03131416407249937,0.0009793276701403441,1.0
fixed_k_50,19,50,2.824854210852031e-05,0.025817300987189238,0.025817300987331107,0.0008071491202517217,1.0
fixed_k_50,20,50,2.329920538745719e-05,0.021285355805887946,0.02128535580587698,0.0006657311017038779,1.0
fixed_k_50,21,50,1.9199896156158697e-05,0.017548941102966696,0.01754894110286307,0.0005486010302546477,1.0
fixed_k_50,22,50,1.5838951247344864e-05,0.014468416707856762,0.014468416708073308,0.0004525683291769863,1.0
fixed_k_50,23,50,1.3049208958995086e-05,0.011928641634654872,0.011928641634534614,0.00037285667741197024,1.0
fixed_k_50,24,50,1.076795080835841e-05,0.009834699777280303,0.009834699777258385,0.0003076740008120282,1.0
fixed_k_50,25,50,8.868368085599144e-06,0.008108323390805696,0.008108323390689572,0.0002533969893995063,1.0
fixed_k_50,26,50,7.321011757319535e-06,0.006684996914447523,0.006684996914116467,0.0002091841811550183,1.0
fixed_k_50,27,50,6.026502501102038e-06,0.005511516660640539,0.005511516660700914,0.00017219600941022976,1.0
fixed_k_50,28,50,4.978005708446097e-06,0.004544031405296062,0.004544031405364156,0.0001422371769305372,1.0
fixed_k_50,29,50,4.094786824506748e-06,0.003746374397236939,0.003746374397065192,0.00011700085631848628,1.0
fixed_k_50,30,50,3.385383050982175e-06,0.0030887406974281295,0.003088740697430037,9.673097099018176e-05,1.0
fixed_k_50,31,50,2.7817334123592504e-06,0.0025465441690495187,0.0025465441690938543,7.948281731220049e-05,1.0
fixed_k_50,32,50,2.302823821294968e-06,0.0020995276364645806,0.002099527636390922,6.579887102292526e-05,1.0
