inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,coarse_damping_mode,outer,inner_cycles,pre_sweeps,basis_source
2,0.8301924085923663,20288159.80108247,20288167.430477582,128.26822904942674,125.40504150995777,-2501.747049112731,11.325707470577374,12.165984694120482,3.129836037961287,3.129836037961287,3.129836037961287,1.0,fixed,10,3,100,message_conditioned_information
3,0.7668972938309676,123090681.80193065,123090697.35296269,1719.4386143330948,1955.2599497783776,-671.8921408443111,15.060499469048036,11.742636586322163,6.8194066875630295,6.8194066875630295,6.8194066875630295,1.0,fixed,10,3,100,message_conditioned_information
1,5.723283181938485,68675756271.40671,68675767989.42005,397669459.9752643,424483629.4505207,424483055.9516793,277.4584390634169,425.05256681209073,168.53556711410144,168.5355671141014,168.5355671141014,1.0,fixed,11,3,100,message_conditioned_information
2,2.7067050613110837,20273503467.61276,20273506733.394543,63460373.889215045,59126928.51029647,59126355.01145505,97.10386223226645,123.38797080193955,36.310010844676476,36.31001084467648,36.31001084467648,1.0,fixed,11,3,100,message_conditioned_information
3,2.3394232137144675,5418341097.000202,5418341793.546735,2818988.2147367215,3033565.4134797207,3032991.9146383028,72.11605479875382,71.49747024583986,59.05773528503874,59.05773528503873,59.05773528503873,1.0,fixed,11,3,100,message_conditioned_information
1,0.988085361831851,2544144722.989633,2544145137.094014,586067.7772236222,598289.7930886281,541057.920753849,12.781216985206662,6.7273797574438925,10.411523441839607,10.411523441839607,10.411523441839607,1.0,fixed,12,3,100,message_conditioned_information
2,0.9287691948436716,1092090223.6346028,1092090379.106921,110884.35567152814,110165.78501827708,52933.912683497954,23.277740836701174,27.04071398253576,8.246703264687287,8.246703264687287,8.246703264687287,1.0,fixed,12,3,100,message_conditioned_information
3,0.8551002189611845,54456425.702863984,54456424.67170314,1129.8363882741717,1523.8840297267134,-55707.98830505241,27.25898169192199,23.413224799628907,8.065774297257546,8.065774297257546,8.065774297257546,1.0,fixed,12,3,100,message_conditioned_information
1,1.0057461464520279,306218650.67403483,306219070.0410442,10692.712331397239,10446.899100612902,6040.812478011274,4.1285575937938015,8.98580783316685,6.355241073713015,6.355241073713015,6.355241073713015,1.0,fixed,13,3,100,message_conditioned_information
2,0.9246335936182787,17133759.288936943,17133743.092158776,172.37990369881825,177.0459235743212,-4229.040699027307,9.13315509140062,8.521526262059053,3.4307120577515526,3.4307120577515526,3.4307120577515526,1.0,fixed,13,3,100,message_conditioned_information
3,0.8682628305487454,163467039.28849915,163467055.30230346,2554.632772644849,2539.3333615934275,-1866.7532610082003,13.678822545384435,11.594990862075408,6.114765202536095,6.114765202536095,6.114765202536095,1.0,fixed,13,3,100,message_conditioned_information
1,1.0274470272384912,3880895969.294589,3880894620.354116,1412874.9834675994,1411789.415650007,1409260.0232429337,3.1330365343868505,4.999163640870726,4.837954242973392,4.837954242973392,4.837954242973392,1.0,fixed,14,3,100,message_conditioned_information
2,0.9586705389587759,179400960.43081072,179400977.65613016,3000.6577065543024,2978.4344822503617,449.04207517702844,4.080331962437079,8.244196773616768,9.71528776531308,9.715287765313079,9.715287765313079,1.0,fixed,14,3,100,message_conditioned_information
3,0.8846520820584234,326326860.2117903,326326911.1303622,10161.570055740951,9599.84310191892,7070.4506948455855,9.641267195157036,16.692683937273834,9.354528643595364,9.354528643595364,9.354528643595364,1.0,fixed,14,3,100,message_conditioned_information
1,3.058393182017174,144476917176.9328,144476892926.46893,3210877193.4859686,3673710877.4263897,3673709765.0858974,165.29477915433435,261.3447436580995,247.48287927564326,247.4828792756432,247.4828792756432,1.0,fixed,15,3,100,message_conditioned_information
2,2.7533466689010955,50137499.20595775,50135803.33942573,6679676.825401878,151507.12233986348,150394.78184766372,134.13453106303714,436.0541954082215,322.9316338132715,322.93163381327145,322.93163381327145,1.0,fixed,15,3,100,message_conditioned_information
3,2.1486151166858125,11399741903.683125,11399743915.21916,39865085.95423498,14698611.291168148,14697498.950675948,87.81878022657644,377.33863085665695,411.7378152789544,411.73781527895443,411.73781527895443,1.0,fixed,15,3,100,message_conditioned_information
1,1.022150109064515,66861789.55220819,66861876.6471035,14349.521594589447,21612.740098056016,-113121.64543417846,22.779721326830586,12.533816909982324,15.61026790976509,15.61026790976509,15.61026790976509,1.0,fixed,16,3,100,message_conditioned_information
