actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
1,3350168.410825497,2,100,200,0.002,3336795.7325036293,-13372.678321867716,3336687.8134430554,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
1,3350168.410825497,2,100,200,0.001,3343475.4982385007,-6692.912586996332,3343367.5791779268,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509
2,2914639.230668818,2,100,200,1.0,80454957.41825357,77540318.18758476,80454849.499193,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.7,20774951.686465155,17860312.45579634,20774843.767404582,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.5,6534278.287358754,3619639.056689936,6534170.36829818,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.3,2421258.781623972,-493380.449044846,2421150.862563398,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.2,2153368.7429367234,-761270.4877320947,2153260.8238761495,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.1,2394531.020929354,-520108.20973946434,2394423.10186878,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.05,2624519.230477258,-290120.00019156,2624411.311416684,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.02,2791066.1759933825,-123573.05467543565,2790958.2569328086,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.01,2851533.1358385375,-63106.094830280636,2851425.2167779636,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.005,2882748.277903512,-31890.952765305992,2882640.358842938,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.002,2901800.629485535,-12838.601183283143,2901692.710424961,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
2,2914639.230668818,2,100,200,0.001,2908206.1291095642,-6433.101559253875,2908098.2100489903,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784
3,2153368.7429367234,2,100,200,1.0,59043161.06879821,56889792.325861484,59043053.149737634,False,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703
3,2153368.7429367234,2,100,200,0.7,11840047.610697918,9686678.867761195,11839939.691637343,False,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703
3,2153368.7429367234,2,100,200,0.5,2588939.029568601,435570.28663187753,2588831.110508027,False,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703
3,2153368.7429367234,2,100,200,0.3,960463.4784003712,-1192905.2645363524,960355.5593397971,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703
