cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
2,22,83610472.2887104,22039112.489834305,22039140.496202756,0.26359272811822354,0.26359306308067126,2765.901266835596,25.62940459377601,2657.982206261427,1.2826364366639664,0.7248376061073467,81429.1847758585,61,244,200,0.8
3,51,22039140.496202756,13929624.07953052,13929635.996487234,0.632040259552342,0.6320408002701942,129.3858386827287,1.198915539056295,21.46677810855978,2.0098518402733667,0.4599189834897719,51668.22342116981,61,244,200,0.8
4,36,13929635.996487234,2879792.974862112,2879520.207776699,0.20673856629048573,0.2067189845092043,498.63917886160476,4.620492211558012,390.72011828743587,3.1461671792142822,0.659436479576054,74081.95618342019,61,244,200,0.8
5,55,2879520.207776699,1455210.6538542158,1455136.2695924551,0.5053656681846298,0.5053398360124646,127.54943969922621,1.181899091973341,19.630379125057303,4.9302856622002915,0.23904055544504305,26854.743613989755,61,244,200,0.8
6,282,1455136.2695924551,494267.0490615911,494268.82726229716,0.33967062699909345,0.3396718490157136,108.11891222715859,1.0018518661293603,0.199851652989679,7.127141605257083,0.5042135784724118,56643.99412682222,61,244,200,0.8
7,300,494268.82726229716,1578235.1824273732,1578237.1409566416,3.1930704413811637,3.19307440385899,108.39629556103166,1.004422156608144,0.47723498686275434,10.147679880897238,0.3632068102271735,40803.18303523562,61,244,200,0.8
8,300,1578237.1409566416,13586520.257773077,13586524.920785574,8.608668434667344,8.60867138923759,127.5660167772552,1.1820526985553552,19.64695620308629,14.385106182766048,0.6720784504505375,75501.648493,61,244,200,0.8
9,261,13586524.920785574,9070510.017482195,9070517.280362612,0.6676107444962267,0.6676112790612063,115.65602537775001,1.0716922920049305,7.7369648035811025,20.551398147074377,0.7072313123052116,79450.62545300572,61,244,200,0.8
10,300,9070517.280362612,37227273.26825964,37227284.21489939,4.104206200990932,4.104207407828361,253.57089800497516,2.3496395970821573,145.65183743080627,29.129669284269198,1.1194780723207909,125762.23467078338,61,244,200,0.8
1,300,0.000247672314702681,357110648.1218971,357110703.25589633,1441867447116.9363,1441867669725.5847,11956.428577104392,110.79070289805027,11848.509516530268,15.466620979490544,10.202418219236236,559923.2318737458,61,244,300,0.8
