c,k,beta,post_objective,x_rel_to_direct,objective_improvement,x_rel_improvement,e_rel_to_exact,linear_residual_approx,raw_full_step_objective
4,200,0.001,197.6831247503068,0.0005046174267263989,0.2226887764564367,4.351155920268219e-06,39.69495529442429,7537400.225848638,110.22689129665282
2,300,1.0,2183.1198623882183,0.025331286939278826,-1985.214048861455,-0.02482231835663216,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.8,1323.4653529093985,0.02024283952343755,-1125.5595393826352,-0.019733870940790883,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.5,451.57951229605436,0.012611759683505643,-253.67369876929112,-0.012102791100858976,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.3,163.6741234617164,0.007528373497413874,34.23169006504685,-0.007019404914767206,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.2,111.62361128943274,0.004991664052482998,86.2822022373305,-0.0044826954698363305,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.1,122.59278704482006,0.0024720198675366495,75.31302648194318,-0.0019630512848899826,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.05,152.12323247171005,0.0012512840820524329,45.782581055053186,-0.0007423154994057658,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.02,177.63185977036008,0.0006269712822234103,20.27395375640316,-0.00011800269957674319,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.01,187.44112642583207,0.0005111759000049748,10.464687100931172,-2.2073173583077657e-06,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.005,192.5914589213642,0.0004939457040505019,5.314354605399046,1.5022878596165174e-05,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.002,195.76037833868546,0.0004991353945417515,2.1454351880777836,9.83318810491554e-06,49.83325601207056,156141532.31082642,2183.1198623882183
2,300,0.001,196.8298128168351,0.000503433091949373,1.0760007099281381,5.535490697294084e-06,49.83325601207056,156141532.31082642,2183.1198623882183
5,50,1.0,109506.88987604987,0.008167274139469506,-109308.9840625231,-0.0076583055568228385,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.8,69133.28315416143,0.006502453073657384,-68935.37734063466,-0.005993484491010717,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.5,25928.680470395666,0.004010697763139545,-25730.774656868904,-0.003501729180492878,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.3,8695.286597287017,0.002362195519472582,-8497.380783760254,-0.0018532269368259147,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.2,3549.2313946028007,0.0015539099343770829,-3351.3255810760375,-0.0010449413517304158,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.1,716.8065173975285,0.0008006223439209032,-518.9007038707653,-0.00029165376127423615,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.05,168.17252920294007,0.0005254150125265383,29.73328432382317,-1.6446429879871213e-05,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.02,116.60933154836876,0.00047339517220023697,81.29648197839448,3.5573410446430105e-05,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.01,145.69045416319648,0.00048437334524549573,52.21535936356676,2.4595237401171344e-05,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.005,168.90636145242055,0.0004950693500470246,28.999452074342685,1.3899232599642506e-05,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.002,185.61200824726896,0.0005030401250963339,12.29380527949428,5.9284575503332215e-06,16.063746757740137,1076012076.3278754,109506.88987604987
5,50,0.001,191.64324022063897,0.0005059442737392433,6.262573306124267,3.0243089074237462e-06,16.063746757740137,1076012076.3278754,109506.88987604987
5,100,1.0,4193.7132671620775,0.01514856676384952,-3995.8074536353142,-0.014639598181202853,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.8,2519.390797381768,0.012089829754415447,-2321.484983855005,-0.01158086117176878,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.5,837.5706330941774,0.007504654266166538,-639.6648195674142,-0.006995685683519871,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.3,260.87541313099484,0.004454595549022497,-62.969599604231604,-0.00394562696637583,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.2,133.67694099879913,0.002937897542282773,64.22887252796411,-0.002428928959636106,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.1,112.9317418994607,0.0014502115334585224,84.97407162730254,-0.0009412429508118554,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.05,142.24972454925623,0.0007717336375979147,55.65608897750701,-0.00026276505495124764,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.02,172.48867288903946,0.000503126706252828,25.417140637723776,5.841876393839038e-06,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.01,184.67194793446694,0.0004823612835331853,13.233865592296297,2.6607299113481757e-05,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.005,191.15760274209524,0.0004899036919386737,6.748210784668004,1.9064890707993424e-05,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.002,195.17502836233325,0.0005000264405814953,2.7307851644299888,8.942142065171757e-06,29.792963008721802,207316887.11658654,4193.7132671620775
5,100,0.001,196.53517129162995,0.0005042851636502681,1.370642235133289,4.683418996399001e-06,29.792963008721802,207316887.11658654,4193.7132671620775
2,100,1.0,105718.93066952066,0.02134739404066411,-105521.02485599389,-0.020838425458017444,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.8,66940.06141924419,0.017070261941687204,-66742.15560571742,-0.016561293359040538,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.5,25207.287472772397,0.010656582430260053,-25009.381659245635,-0.010147613847613386,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.3,8467.785634104179,0.006385732960297447,-8269.879820577416,-0.00587676437765078,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.2,3455.086821195873,0.0042563673602788255,-3257.18100766911,-0.003747398777632158,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.1,694.8461256586098,0.0021471954106121478,-496.94031213184655,-0.0016382268279654807,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.05,162.78501081451984,0.0011359545300756327,35.1208027122434,-0.0006269859474289656,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.02,115.70875506536147,0.000630032415196527,82.19705846140177,-0.00012106383254985992,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.01,145.44191618748943,0.0005312444340707578,52.463897339273814,-2.2275851424090722e-05,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.005,168.83184345103493,0.0005091083014003286,29.07397007572831,-1.397187536615347e-07,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.002,185.59405339217358,0.0005063195225134784,12.311760134589662,2.649060133188652e-06,42.01963921385403,1076572504.7087295,105718.93066952066
2,100,0.001,191.6362308657526,0.0005071947315028481,6.269582661010645,1.7738511438189974e-06,42.01963921385403,1076572504.7087295,105718.93066952066
