basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,num_groups,coarse_dim
message_conditioned_information,1,50,17,26.78090960239327,3.1464688453229557,0.0550456381984465,3,12
message_conditioned_information,1,50,18,26.780909297731814,3.1456384575664944,0.055059028332702764,3,12
message_conditioned_information,1,50,19,26.780909128332524,3.1452720989741967,0.05506480353152879,3,12
message_conditioned_information,1,50,20,26.780909025866425,3.145126141142697,0.05506698575465433,3,12
joint_covariance,2,50,0,812.7548653692855,160.9546229766807,0.16992428373989524,3,12
joint_covariance,2,50,1,84.76712595515124,21.54846343481743,0.2268876577675306,3,12
joint_covariance,2,50,2,26.776124955642864,1.0344762687922837,0.10166419130513445,3,12
joint_covariance,2,50,3,26.770216740565765,0.33493675172883114,0.13035749803310392,3,12
joint_covariance,2,50,4,26.77021596588614,0.30709940054499624,0.14463328904183984,3,12
joint_covariance,2,50,5,26.770216105558767,0.30524668845231656,0.1456140574710991,3,12
joint_covariance,2,50,6,26.770216110342936,0.30597926472861114,0.14526597985181364,3,12
joint_covariance,2,50,7,26.770216106842994,0.30498190679252696,0.1457500195961769,3,12
joint_covariance,2,50,8,26.770216110843545,0.30581790212887644,0.1453421971924052,3,12
joint_covariance,2,50,9,26.770216108020968,0.30500632900632724,0.14573542613836907,3,12
joint_covariance,2,50,10,26.770216109084497,0.30595843678251194,0.14527866194262576,3,12
joint_covariance,2,50,11,26.770216107946123,0.3051696452971039,0.1456563781517256,3,12
joint_covariance,2,50,12,26.770216110564473,0.30563409435915406,0.1454324449463073,3,12
joint_covariance,2,50,13,26.770216108684046,0.30543562173472383,0.14552752291218737,3,12
joint_covariance,2,50,14,26.77021610638162,0.30532615578107575,0.1455832375525137,3,12
joint_covariance,2,50,15,26.77021611133795,0.3056264391729654,0.14543458651944013,3,12
joint_covariance,2,50,16,26.770216109078433,0.3052689158592781,0.14560920198226585,3,12
joint_covariance,2,50,17,26.77021610957101,0.30537540920755696,0.14555750376899648,3,12
joint_covariance,2,50,18,26.770216111029445,0.3054180838640743,0.1455382892880262,3,12
joint_covariance,2,50,19,26.77021611123564,0.30550789529499983,0.14549236205937818,3,12
joint_covariance,2,50,20,26.770216109659803,0.30524667131221933,0.14562032497619176,3,12
message_conditioned_information,2,50,0,812.7548653692855,160.9546229766807,0.17213296893322103,3,12
message_conditioned_information,2,50,1,73.39765622693645,18.617958018575475,0.23445557013079404,3,12
message_conditioned_information,2,50,2,26.785303121409164,2.9699057083772726,0.0455596005967885,3,12
message_conditioned_information,2,50,3,26.770439039660495,2.388038342330174,0.024003754769733352,3,12
message_conditioned_information,2,50,4,26.77039883207962,2.259916592130143,0.024367471079795158,3,12
message_conditioned_information,2,50,5,26.770389919400397,2.226097939126203,0.024500934880294402,3,12
message_conditioned_information,2,50,6,26.770387655415508,2.2176657209134745,0.024533813247919787,3,12
message_conditioned_information,2,50,7,26.770387066769608,2.2148763633882735,0.02454746074296091,3,12
