cycle,sweep,cycle_start_residual,current_residual,residual_ratio,outer_sample,ratio_target
1,178,7276196.130319717,193433518.48552263,26.584428872043492,75,1.0
1,179,7276196.130319717,185276547.10004607,25.463380010882826,75,1.0
1,180,7276196.130319717,187229572.92480642,25.7317930373847,75,1.0
1,181,7276196.130319717,182444685.36752835,25.074184656359957,75,1.0
1,182,7276196.130319717,184453393.86120182,25.350250399736943,75,1.0
1,183,7276196.130319717,179459394.9024542,24.663902908643657,75,1.0
1,184,7276196.130319717,182564857.24551535,25.090700412097526,75,1.0
1,185,7276196.130319717,178971640.0737654,24.59686859291702,75,1.0
1,186,7276196.130319717,174879777.07143572,24.034505659174894,75,1.0
1,187,7276196.130319717,172206880.6174588,23.667157609987623,75,1.0
1,188,7276196.130319717,174738538.5706644,24.015094623760007,75,1.0
1,189,7276196.130319717,170119276.86389655,23.38024894010402,75,1.0
1,190,7276196.130319717,170248588.74895585,23.398020847669905,75,1.0
1,191,7276196.130319717,168429753.15539157,23.148050181543244,75,1.0
1,192,7276196.130319717,166563654.98250732,22.891584008908303,75,1.0
1,193,7276196.130319717,166070044.42432463,22.823744914229998,75,1.0
1,194,7276196.130319717,167907468.30992237,23.076270252014837,75,1.0
1,195,7276196.130319717,164217159.5750379,22.56909470743227,75,1.0
1,196,7276196.130319717,162387869.6499316,22.317687256019067,75,1.0
1,197,7276196.130319717,160272913.50839114,22.027019425787348,75,1.0
1,198,7276196.130319717,160647204.0480252,22.078459839559923,75,1.0
1,199,7276196.130319717,160172412.23016277,22.01320708807292,75,1.0
1,200,7276196.130319717,159141351.69592038,21.871503852511967,75,1.0
1,201,7276196.130319717,156084860.18438357,21.45143662826543,75,1.0
1,202,7276196.130319717,151741567.89007694,20.854518648524856,75,1.0
1,203,7276196.130319717,152822088.02947706,21.003019337627727,75,1.0
1,204,7276196.130319717,152396200.52727765,20.94448772377736,75,1.0
1,205,7276196.130319717,150319799.73933956,20.659118727292263,75,1.0
1,206,7276196.130319717,149671706.53096944,20.570048394832487,75,1.0
1,207,7276196.130319717,145864249.2569761,20.046772605422717,75,1.0
1,208,7276196.130319717,145273875.18825948,19.965634871070485,75,1.0
1,209,7276196.130319717,145363680.9842499,19.977977281085547,75,1.0
1,210,7276196.130319717,147445521.270277,20.26409385198887,75,1.0
1,211,7276196.130319717,144671833.93900546,19.88289366419931,75,1.0
1,212,7276196.130319717,142205146.8586239,19.543885886481096,75,1.0
1,213,7276196.130319717,142121995.8130706,19.532458068420116,75,1.0
1,214,7276196.130319717,131265356.45535868,18.040381829233464,75,1.0
1,215,7276196.130319717,141810770.8510692,19.48968503750847,75,1.0
1,216,7276196.130319717,140309288.3271766,19.283329615389487,75,1.0
1,217,7276196.130319717,129154178.34556235,17.750233230709696,75,1.0
1,218,7276196.130319717,135822317.43958268,18.66666524746559,75,1.0
1,219,7276196.130319717,135431670.28937605,18.612976871944923,75,1.0
1,220,7276196.130319717,134824645.755605,18.529550790116044,75,1.0
1,221,7276196.130319717,132563574.95824794,18.218801772791558,75,1.0
1,222,7276196.130319717,134657638.16402245,18.50659819392548,75,1.0
1,223,7276196.130319717,130061063.50043583,17.874870491529883,75,1.0
1,224,7276196.130319717,128145142.64911492,17.61155696657729,75,1.0
1,225,7276196.130319717,131901485.75162114,18.127807908034683,75,1.0
1,226,7276196.130319717,129817430.77140793,17.841386961858014,75,1.0
1,227,7276196.130319717,128895197.47672778,17.71464033791295,75,1.0
1,228,7276196.130319717,126030241.95756999,17.320896757085105,75,1.0
1,229,7276196.130319717,127535428.45690352,17.52776123302487,75,1.0
1,230,7276196.130319717,123810592.42270157,17.015840448113554,75,1.0
1,231,7276196.130319717,125465892.42205268,17.24333569009219,75,1.0
1,232,7276196.130319717,125580762.08984223,17.259122739497155,75,1.0
1,233,7276196.130319717,120637379.27834651,16.57973165067029,75,1.0
1,234,7276196.130319717,120214210.78881519,16.52157372282555,75,1.0
1,235,7276196.130319717,119669777.55351484,16.446749841562685,75,1.0
1,236,7276196.130319717,120225092.61702327,16.523069260880487,75,1.0
1,237,7276196.130319717,118281113.01772743,16.255899497383414,75,1.0
1,238,7276196.130319717,119811406.02267842,16.466214472068373,75,1.0
1,239,7276196.130319717,115446097.78783792,15.866270743689423,75,1.0
1,240,7276196.130319717,114897727.6074925,15.790905790556787,75,1.0
1,241,7276196.130319717,117911430.6764759,16.205092408812632,75,1.0
1,242,7276196.130319717,115507911.59251766,15.87476608982532,75,1.0
1,243,7276196.130319717,115091290.11716785,15.817507947261822,75,1.0
1,244,7276196.130319717,112513636.79200126,15.463249584925276,75,1.0
1,245,7276196.130319717,113444860.10001624,15.591231746392115,75,1.0
1,246,7276196.130319717,109826118.36313935,15.093891972688423,75,1.0
1,247,7276196.130319717,112247683.92827299,15.426698499857618,75,1.0
1,248,7276196.130319717,113123750.73269768,15.54710025769014,75,1.0
1,249,7276196.130319717,108109638.63822694,14.857988528887633,75,1.0
1,250,7276196.130319717,108137972.01553306,14.861882510962698,75,1.0
1,251,7276196.130319717,108096684.32524626,14.856208160031617,75,1.0
1,252,7276196.130319717,107205719.92349719,14.73375895913165,75,1.0
1,253,7276196.130319717,106337286.44466949,14.61440628319031,75,1.0
1,254,7276196.130319717,107984406.95053193,14.840777380994961,75,1.0
1,255,7276196.130319717,103738466.263616,14.257238865695298,75,1.0
1,256,7276196.130319717,103130973.03423618,14.17374836894406,75,1.0
