outer,nonlinear_objective,accepted,lambda,attempts,lambda_next,step_norm,linear_residual_norm,scale,actual_reduction,rho,relative_objective_improvement
48,161413.8526607208,True,2853.232151128627,1,1902.1547674190845,0.3748818036285984,1.0541727342101605e-10,804.1798217954455,401.83571655949345,0.4996839085844485,0.002483292692996467
49,160821.0858936317,True,1902.1547674190845,1,1268.1031782793896,0.5582552346744593,2.7415764959790775e-10,1190.5411701161247,592.7667670890805,0.49789690769892686,0.0036723413592947914
50,159995.07031357402,True,1268.1031782793896,1,845.4021188529264,0.8362798875658224,3.967372410651596e-10,1786.5189032867095,826.0155800576904,0.4623603917865331,0.005136239290188747
51,159792.03215049815,True,6763.216950823411,3,4508.81130054894,0.20904515988434744,1.274358749531012e-10,598.1754775060496,203.03816307586385,0.33942909850197,0.0012690276186505607
52,159551.09307641763,True,4508.81130054894,1,3005.87420036596,0.24735501500359985,3.1047824320401653e-11,554.7495795744579,240.93907408052473,0.4343204266424976,0.001507829087833361
53,159221.55305125695,True,3005.87420036596,1,2003.9161335773065,0.37151883771509225,2.9621360952248317e-10,837.3902468112874,329.54002516067703,0.39353219889476637,0.0020654200407316703
54,159096.81241143213,True,2003.9161335773065,1,1335.9440890515375,0.647510773729345,2.456968523554073e-10,1731.3604942949366,124.74063982482767,0.07204775679927126,0.0007834406676379478
55,158550.65627459588,True,10687.5527124123,3,7125.035141608199,0.2886717363969623,1.5100905016358056e-11,1815.5801564119931,546.1561368362454,0.30081631753211957,0.0034328540500475836
56,158398.0907672122,True,7125.035141608199,1,4750.023427738799,0.14919093944379064,1.6505691054547754e-11,317.9047475335148,152.56550738366786,0.47990949668841854,0.0009622508728026817
57,158175.15538981764,True,4750.023427738799,1,3166.682285159199,0.21724892591660197,1.0048640080437401e-10,449.0493786635166,222.9353773945768,0.49646071899283833,0.0014074372760099173
58,157844.05027518547,True,3166.682285159199,1,2111.121523439466,0.3244902635341435,1.1039281749135264e-10,668.3685614191754,331.1051146321697,0.4953930117974432,0.0020932814247355833
59,157362.57315679896,True,2111.121523439466,1,1407.4143489596438,0.4874211186267051,9.473285659150645e-11,1007.1444630950568,481.47711838650866,0.47806162475131003,0.003050334285942999
60,156915.87022146065,True,1407.4143489596438,1,938.2762326397625,0.7762940150323036,1.1006585255424323e-10,1728.8854590869714,446.70293533831136,0.2583762463791073,0.0028386860126722023
61,156506.07575572285,True,7506.2098611181,3,5004.139907412066,0.33435159548534893,3.3952338429672845e-11,1719.4446351277081,409.7944657377957,0.2383295497661424,0.00261155525670819
62,156297.57749315244,True,5004.139907412066,1,3336.0932716080442,0.2323950626312818,3.031674486193327e-11,545.5875484921395,208.49826257041423,0.38215363079060105,0.0013322055489771631
63,156020.63246883353,True,3336.0932716080442,1,2224.0621810720295,0.3335430028156527,4.165446203013624e-11,749.7355174826145,276.9450243189058,0.36939029545886204,0.0017719086166325198
64,155855.72419436523,True,2224.0621810720295,1,1482.7081207146862,0.5671393545553347,1.0181859186995496e-10,1472.2746918245325,164.90827446829644,0.11200917558661017,0.001056964530003673
65,155459.86772297,True,11861.66496571749,3,7907.77664381166,0.22330642172857654,1.4917967696204716e-11,1202.4772638209852,395.85647139523644,0.32920079514631745,0.0025398904880873673
66,155322.50390617832,True,7907.77664381166,1,5271.851095874439,0.13907852518020955,6.657347342922894e-12,307.1967136983932,137.3638167916797,0.4471526245770454,0.0008835966401081885
67,155134.11141712937,True,5271.851095874439,1,3514.567397249626,0.18952457494678251,3.8244935195785483e-11,379.2169256936198,188.3924890489434,0.496793461168321,0.0012129117437016134
68,154853.62390280594,True,3514.567397249626,1,2343.0449314997504,0.283016666808637,5.5775562671928205e-11,563.9253971820507,280.4875143234385,0.4973840790378331,0.0018080324936999514
69,154439.05456622055,True,2343.0449314997504,1,1562.0299543331669,0.42360812987976026,1.646976240264044e-10,843.3081405430996,414.56933658538037,0.49159887905077404,0.002677169097738296
70,153883.26150500873,True,1562.0299543331669,1,1041.3533028887778,0.6460102222970744,1.1992361873454274e-10,1313.9158694673679,555.7930612118216,0.4230050600097613,0.0035987857007600886
71,153700.84566116706,True,8330.826423110222,3,5553.884282073481,0.1769791291944996,3.3399484997505355e-11,528.2725755174206,182.415843841678,0.3453062912891312,0.0011854170626331608
72,153527.3534567806,True,5553.884282073481,1,3702.5895213823205,0.17787170624672594,3.323024440012143e-11,351.9022038594378,173.49220438644988,0.4930125542940584,0.0011287654510952583
73,153269.5329982686,True,3702.5895213823205,1,2468.39301425488,0.26474562785581107,7.098128548011987e-11,519.8943252297047,257.82045851199655,0.4959093531134117,0.0016793128566798062
74,152888.74373075354,True,2468.39301425488,1,1645.5953428365867,0.3967234504969992,6.604687799850876e-11,779.0386225164389,380.78926751506515,0.4887938242202233,0.0024844420157486007
75,152381.58925856967,True,1645.5953428365867,1,1097.0635618910578,0.6068081586387154,1.2319421740801285e-10,1222.5940047281435,507.1544721838727,0.41481838633475365,0.0033171472262013145
76,152207.2767639722,True,8776.508495128463,3,5851.005663418975,0.1667955774944774,3.1982860650499233e-11,494.1995787426131,174.31249459748506,0.35271680125868693,0.0011439209647676125
77,152047.6768192744,True,5851.005663418975,1,3900.6704422793164,0.1653036121818227,1.3763376464709992e-11,320.0639762689764,159.5999446977803,0.49865013413335585,0.001048569740494549
78,151809.53359472143,True,3900.6704422793164,1,2600.446961519544,0.2470807864992371,3.8300378518517e-11,476.8477325769529,238.14322455297224,0.499411464674504,0.0015662404683501477
79,151454.89997593316,True,2600.446961519544,1,1733.631307679696,0.36940142595368075,9.813843968009608e-11,711.054895209421,354.6336187882698,0.4987429538528422,0.0023360431350445882
80,150932.9787132694,True,1733.631307679696,1,1155.7542051197972,0.5528215444262655,7.099342767503993e-11,1062.971364589088,521.92126266376,0.4910021850546451,0.0034460506906458326
81,150323.06941938886,True,1155.7542051197972,1,770.5028034131981,0.8511229486750206,1.7279997203930364e-10,1697.6585077072323,609.9092938805406,0.3592650059547322,0.004040927960742087
82,150037.74962273118,True,6164.022427305585,3,4109.34828487039,0.31829133399315435,2.942314864959626e-11,1281.1561953932735,285.3197966576845,0.2227049267557111,0.0018980439779450351
83,149829.2786864251,True,4109.34828487039,1,2739.565523246926,0.2939047699823807,4.039189927114238e-11,722.4912546957237,208.47093630608288,0.2885445809221319,0.0013894565656328592
84,149646.5971195447,True,2739.565523246926,1,1826.3770154979507,0.45326891910430656,4.6510645861959874e-11,1157.4137020242624,182.68156688040472,0.1578360153857719,0.0012192648091347725
85,149552.67670114263,True,3652.7540309959013,2,2435.1693539972675,0.5295236388974521,2.444008184610836e-11,2134.77846508929,93.92041840206366,0.04399539340403423,0.0006276147951900012
86,149245.06735396394,True,4870.338707994535,2,3246.8924719963566,0.5108948904639381,3.529816285334579e-11,2648.0862799656843,307.60934717868804,0.11616288695195923,0.002056862865740589
