outer_sample,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,outer_start_objective,cycle_start_objective,pre_objective,post_objective,post_objective_delta_vs_outer_start,post_objective_gap_to_direct_optimum,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
12,100,17,7784753172553.553,8328345378449.8545,8328347803459.104,1.0698278023525303,1.0698281138600623,30281.256154506722,30311412358022.46,433956940745079.0,63374347448622.02,63374347418340.766,63374347448514.1,1250951.8416920092,1250951.8416920092,51783.33440453857,3221.2553244820706
12,100,18,8328347803459.104,17058235375906.006,17058238965001.969,2.048213616729722,2.0482140476790587,30281.256154506722,63374347448622.02,946894901603632.8,129733797523825.53,129733797493544.28,129733797523717.61,1875719.7148889848,1875719.714888985,78558.52924439033,4888.286355576769
12,100,19,17058238965001.969,19905333921299.33,19905339296468.37,1.1669043892595645,1.1669047043664789,30281.256154506722,129733797523825.53,1963880294051771.0,276498063519288.34,276498063489007.1,276498063519180.44,2813853.356147557,2813853.356147557,117233.04975550345,7293.33517965671
12,100,20,19905339296468.37,35810184508118.12,35810192628707.9,1.799024069610891,1.7990244775712707,30281.256154506722,276498063519288.34,4517139100872490.0,608378532521567.2,608378532491286.0,608378532521459.4,4222882.0491525335,4222882.049152534,176736.23527185002,10996.6515511982
12,200,1,570869038.7878886,1504517955917.6245,1504518127921.0571,2635.4870446506056,2635.487345951641,30281.256154506722,30281.256154506722,611847496843.6753,286468992374.70984,286468962093.4537,286468992266.7908,7873.7936296620555,7873.7936296620555,11744.114805797755,730.9671389408844
12,200,2,1504518127921.0571,385964072383.1255,385964126104.5782,0.25653667125729523,0.25653670696404524,30281.256154506722,286468992374.70984,11709988604.249302,9203513097.481117,9203482816.224962,9203512989.562057,4407.740366706842,4407.740366706842,5366.566962704037,334.81446034287336
12,200,3,385964126104.5782,79820349750.24786,79820362502.24153,0.20680769105629337,0.20680772409561698,30281.256154506722,9203513097.481117,3739837318.326824,544057257.0039783,544026975.7478237,544057149.0849177,6721.827195316338,6721.8271953163385,4448.540405576325,277.75832790896584
12,200,4,79820362502.24153,20249988774.73594,20249986050.41328,0.2536945228000847,0.2536944886694121,30281.256154506722,544057257.0039783,27241984315.463196,2122166873.1366532,2122136591.8804986,2122166765.2175927,9393.086163335287,9393.086163335287,4357.343304772574,272.0834817051499
12,200,5,20249986050.41328,1166636744.796972,1166638845.109194,0.05761173078799046,0.057611834507183976,30281.256154506722,2122166873.1366532,24377179736.034443,273321847.479798,273291566.22364354,273321739.56073743,13983.171178693141,13983.171178693141,3304.57861014478,206.59539146502033
12,200,6,1166638845.109194,13670586011.965979,13670595999.681091,11.71792459103867,11.717933152141494,30281.256154506722,273321847.479798,598878302200.3453,1977041670.1986089,1977011388.9424543,1977041562.2795484,20072.01452684944,20072.014526849445,3664.6762823703475,228.9671618570763
12,200,7,13670595999.681091,13340319424.968082,13340332125.448315,0.9758403675508578,0.9758412965871802,30281.256154506722,1977041670.1986089,62459092708.87802,130698566294.19261,130698536012.93646,130698566186.27354,29413.415108743935,29413.41510874394,2349.2217618046197,147.11602129307468
12,200,8,13340332125.448315,39330371393.58613,39330393813.566605,2.9482303006953354,2.9482319813116997,30281.256154506722,130698566294.19261,185979882252.92654,14599273516.753181,14599243235.497026,14599273408.834122,42507.481235785264,42507.48123578527,3532.1398267458276,220.6425701626296
12,200,9,39330393813.566605,86048466253.56737,86048497310.71518,2.187836375639998,2.1878371652875153,30281.256154506722,14599273516.753181,353233393840.65625,6833844478.76722,6833814197.5110655,6833844370.848159,61881.585496926484,61881.585496926484,2154.064700590871,134.56049672530708
12,200,10,86048497310.71518,56668340001.82997,56668387860.80613,0.658562807868736,0.6585633640548131,30281.256154506722,6833844478.76722,743267116062.1991,175140838364.27908,175140808083.02292,175140838256.36002,89601.06774077924,89601.06774077924,4503.28178993998,280.8910102412765
12,200,11,56668387860.80613,132540862182.01694,132540929773.55362,2.338885350110461,2.338886542866056,30281.256154506722,175140838364.27908,525738407441.2528,160535405774.57034,160535375493.31418,160535405666.65128,130063.63065578658,130063.63065578656,4158.020348276967,258.6467128211624
12,200,12,132540929773.55362,172307759329.46515,172307862915.93802,1.3000343337250857,1.3000351152683647,30281.256154506722,160535405774.57034,1794364000910.9668,543407731293.8539,543407701012.5977,543407731185.9348,188401.0073980158,188401.00739801576,7621.776792490005,474.73779283187304
12,200,13,172307862915.93802,315768640611.8617,315768786018.06445,1.8325840461843135,1.8325848900587616,30281.256154506722,543407731293.8539,2841401562090.481,123921891414.23871,123921861132.98256,123921891306.31964,273080.4628629626,273080.4628629626,9365.173221613453,582.4186250992119
