sweep,mu_norm,mu_max_abs,message_eta_norm,message_eta_max_abs
7346,6.1604603759210725,0.2691227075621762,761.4328876812735,69.35658919547934
7347,6.159930958628755,0.269093678861917,761.4092466518161,69.351610063314
7348,6.159401574141837,0.26906470536815386,761.3856095511161,69.34663156095071
7349,6.15887212164924,0.2690356651963675,761.3619772763525,69.34165359973963
7350,6.158342704499428,0.26900668290657076,761.3383494716353,69.33667617984256
7351,6.157813419529965,0.26897766678779933,761.3147289840916,69.33169931303847
7352,6.157284432787109,0.26894870217708133,761.2911129628726,69.32672304071461
7353,6.156755526480949,0.26891966989541566,761.2675019841515,69.3217473184796
7354,6.156226399547184,0.2688907089842225,761.2438957319285,69.31677220248534
7355,6.1556971795852915,0.26886168994379,761.2202927067722,69.31179762997301
7356,6.155168207916686,0.26883274709001803,761.1966975281052,69.30682362921132
7357,6.154639243333925,0.26880375485016084,761.1731087206881,69.30185019972627
7358,6.154110551425237,0.26877476822941926,761.1495249217608,69.2968773712402
7359,6.153581750015871,0.26874579525982567,761.1259438607092,69.29190502747097
7360,6.1530530610955845,0.26871683130608054,761.1023680403395,69.28693330890515
7361,6.152524449052415,0.2686878832093042,761.0787972229333,69.28196218020149
7362,6.151996047065841,0.2686588925477535,761.0552324757407,69.27699161456388
7363,6.15146746365577,0.2686299420180987,761.0316732528021,69.27202157334058
7364,6.150939185692326,0.2686009593896441,761.0081193470073,69.26705207241369
7365,6.1504108653899845,0.26857206073397794,760.9845705914558,69.26208319505815
7366,6.149882749152456,0.2685430809209543,760.9610264777264,69.25711491083712
7367,6.149354434406666,0.2685141283427757,760.9374879207584,69.25214721151185
7368,6.148826128262055,0.2684851576214474,760.9139556779229,69.24717999177042
7369,6.148297839644234,0.2684562464748345,760.8904282667825,69.24221337761351
7370,6.147770087141761,0.26842728935630006,760.8669068357158,69.23724730373455
7371,6.147242327775233,0.26839837541450584,760.8433896460044,69.23228184331813
7372,6.146714427395797,0.26836940216315286,760.8198750411276,69.22731693530564
7373,6.14618661174297,0.2683404918810753,760.7963651803328,69.22235259563789
7374,6.145658767539104,0.26831156065252315,760.7728636390742,69.21738880079029
7375,6.145131184027225,0.26828264667279617,760.7493677233659,69.21242561390017
7376,6.144603513017483,0.2682537081118091,760.7258762418829,69.20746296373284
7377,6.144076018512543,0.2682248038230458,760.7023897066233,69.20250089971351
7378,6.14354849695514,0.26819588612519857,760.6789076847232,69.19753939314228
7379,6.143021178531784,0.2681669958622051,760.6554308117885,69.1925784861029
7380,6.142493725522127,0.2681380764484363,760.6319612272122,69.18761812342743
7381,6.141966589597375,0.26810914311405665,760.6084958361432,69.18265830220146
7382,6.1414393544076,0.2680802613152806,760.5850341672223,69.17769903446406
7383,6.140912320527296,0.2680513732908251,760.5615778873716,69.1727403788196
7384,6.140385347978878,0.2680224853944192,760.5381273866116,69.16778230685902
7385,6.139858321067249,0.26799356674554814,760.5146823571472,69.16282475643405
7386,6.139331149375236,0.26796469176836446,760.4912426384782,69.15786776912438
7387,6.1388044021458645,0.2679357835702018,760.4678097145278,69.15291135928338
7388,6.138277681311181,0.2679069422552205,760.4443802312265,69.14795556390251
7389,6.137750900725991,0.2678780250588241,760.4209559545842,69.14300031273838
7390,6.137224180691857,0.26784916861551733,760.3975359755041,69.13804559724379
7391,6.136697551773269,0.26782028197281754,760.3741232059848,69.13309142756296
