outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
63,5249.224051413832,True,0.004069874579177266,1,39.777598546850754,853.0829207305317,1.1987839564354658e-10,215.84321805457358,53.009986560605284,0.24559486760062246,0.00999767007283145
64,5211.33545924637,True,0.005269507875066935,1,38.477484436247956,761.118348388806,5.816320320402142e-11,226.54673023165222,37.888592167461866,0.16724404774555524,0.007217941508375301
65,5133.618459229488,True,0.005479638999616421,1,34.24435454896399,675.6711072613576,5.826575075266744e-11,236.09404937385222,77.7170000168826,0.3291781399107549,0.014913067988933786
66,5070.735023447078,True,0.005644609245438153,1,29.9299725798487,583.7879584015025,5.0419118663912046e-11,182.55893559245865,62.88343578240983,0.34445553474736346,0.012249339580224297
67,5003.06083817249,True,0.005655791912878955,1,26.810956183765892,561.3006967087772,6.987650658149536e-11,154.7890143880728,67.67418527458813,0.43720276624361487,0.013346030696075166
68,4951.9931857853935,True,0.005669964337417628,1,24.47061183241538,542.7244627803248,8.602915053365366e-11,118.18838495770137,51.06765238709613,0.4320868958939816,0.010207281909797852
69,4899.17048440559,True,0.005669878476088631,1,22.63919964274526,529.347640304413,5.2794404197351764e-11,103.09480174851764,52.82270137980322,0.5123701727333962,0.010666957606369456
70,4854.048245934242,True,0.00566773784277323,1,20.896564616698733,516.2517760851138,8.46390272833553e-11,84.16167233299035,45.12223847134828,0.536137617285213,0.009210179277282878
71,4808.69138339313,True,0.005619374296460142,1,19.78574898170479,503.77678357323623,8.121378784115178e-11,75.32188208399806,45.356862541111695,0.6021737811932297,0.009344130969259045
72,4766.749265027071,True,0.00549162374411413,1,18.527963826147246,491.5868273674207,4.2161658541387734e-11,65.3667568966397,41.94211836605973,0.6416429444768101,0.008722148090207516
73,4724.396188326657,True,0.0051618748843534346,1,18.15199733770176,480.41284947710847,6.60924839002263e-11,60.870211419812435,42.35307670041402,0.6957931591252641,0.008885106882200042
74,4681.9692281374,True,0.004638280054170919,1,18.04891770053013,470.5366321059526,7.653850071065385e-11,57.86670623842828,42.42696018925653,0.7331842945137513,0.008980398446279295
75,4635.981495663003,True,0.0039290079031144174,1,19.4250717438028,463.79400441612836,8.100886833017337e-11,59.9285729665923,45.98773247439658,0.7673757307725789,0.00982230557988772
76,4584.531304593534,True,0.003245337683304957,1,21.83628420940177,460.2908306097117,7.281938269795899e-11,66.03445368117217,51.45019106946984,0.7791416177664143,0.011098014760758189
77,4524.631103708836,True,0.0027208396856058833,1,26.103913051712343,461.551780924763,8.510414074731208e-11,77.55552446600932,59.90020088469737,0.772352470015855,0.013065719678842534
78,4458.464210640307,True,0.0024828284975881676,1,30.555927265672572,462.78016110884,1.2994131907217023e-10,91.64940012425436,66.16689306852913,0.721956641056274,0.01462370998915076
79,4390.880754721341,True,0.00243696548149256,1,34.6788772449667,472.77242728055796,1.409800296834569e-10,106.90662411710741,67.58345591896614,0.6321727626992881,0.01515846101392391
80,4334.163037613116,True,0.0024377840394230886,1,36.91594914121464,454.3751993363953,9.424405020787022e-11,121.90976002948648,56.71771710822486,0.46524344805950296,0.012917161789747658
81,4282.825355268483,True,0.0025170169555022684,1,40.801447856530295,468.6108494748138,1.0929799410442561e-10,150.80065539107161,51.33768234463332,0.34043407975581547,0.01184488952056259
82,4259.440603638554,True,0.0035338841118452147,1,43.20674324482914,429.1646442650633,8.186345454438655e-11,179.3668972285071,23.38475162992836,0.13037384261677343,0.005460122627032129
83,4211.724478042798,True,0.004160697091846892,1,40.79933022126901,424.1716661820945,6.285520148811108e-11,217.81251751872804,47.71612559575624,0.21906971251848964,0.011202439483484181
84,4171.253947546006,True,0.0050033722486761455,1,35.89536119922522,351.3489669386392,6.189639976154734e-11,196.10726134338833,40.47053049679198,0.20636936245785997,0.009609016617250036
85,4102.720662267075,True,0.005068134936337962,1,30.718983489678738,362.0710340361128,6.454540831630362e-11,179.1237979309771,68.53328527893154,0.3826029040839113,0.01642990001106272
86,4057.7169199441537,True,0.005169330465297097,1,26.330427710656103,332.8461621250498,4.0718830150217007e-11,123.5166089443261,45.00374232292097,0.3643537715903937,0.010969243589216936
87,4010.9795178368086,True,0.005171106517594877,1,23.190053784352422,352.1674334243924,5.0154534271147106e-11,100.51476684841967,46.73740210734513,0.46498045583518116,0.011518152456033916
88,3976.005452502511,True,0.005172119948888356,1,20.607967944802752,331.460036521691,6.624274387120147e-11,74.26168291448286,34.97406533429739,0.47095707990582836,0.00871958213168825
89,3941.007986189303,True,0.005165486948070716,1,18.856054357579378,348.69230377931166,3.188230464889329e-11,63.135510681162934,34.99746631320795,0.5543230099134966,0.008802167585353895
90,3910.3821933912945,True,0.005129734503885664,1,17.03435543901695,331.75972004677914,5.5482847709252084e-11,51.44708275726232,30.62579279800866,0.5952872574429012,0.007771055756631896
