post_warm_iter,vanilla_map_sse,raylib_two_level_map_sse,raylib_multilevel_map_sse
38,2.099290259010e+01,1.376619639303e+00,1.407081870040e+00
39,2.068038906562e+01,1.260837280636e+00,1.289135784481e+00
40,2.037252804394e+01,1.154786598931e+00,1.181071571841e+00
41,2.006925022249e+01,1.057654173842e+00,1.082060796916e+00
42,1.977048732402e+01,9.686900562798e-01,9.913485499751e-01
43,1.947617210194e+01,8.872075118962e-01,9.082420242215e-01
44,1.918623831356e+01,8.125772674926e-01,8.321003059032e-01
45,1.890062071124e+01,7.442244199525e-01,7.623396546500e-01
46,1.861925502213e+01,6.816208374981e-01,6.984269637197e-01
47,1.834207793757e+01,6.242797015814e-01,6.398702120120e-01
48,1.806902709340e+01,5.717606131305e-01,5.862214321200e-01
49,1.780004105745e+01,5.236615302986e-01,5.370715686410e-01
50,1.753505931422e+01,4.796089304527e-01,4.920424074642e-01
51,1.727402225048e+01,4.392603529910e-01,4.507872595196e-01
52,1.701687114128e+01,4.023054892456e-01,4.129904000585e-01
53,1.676354813671e+01,3.684594916144e-01,3.783622414291e-01
54,1.651399624847e+01,3.374606617061e-01,3.466373745483e-01
55,1.626815933682e+01,3.090696538676e-01,3.175726158848e-01
56,1.602598209802e+01,2.830671415358e-01,2.909446342618e-01
57,1.578741005172e+01,2.592519959182e-01,2.665489846007e-01
58,1.555238952857e+01,2.374402328006e-01,2.441987300143e-01
59,1.532086765833e+01,2.174633011617e-01,2.237223788733e-01
60,1.509279235778e+01,1.991670276589e-01,2.049628735186e-01
61,1.486811231909e+01,1.824101868690e-01,1.877764080065e-01
62,1.464677699826e+01,1.670631421719e-01,1.720310107731e-01
63,1.442873660371e+01,1.530071316968e-01,1.576057363825e-01
64,1.421394208513e+01,1.401336387524e-01,1.443899569567e-01
65,1.400234512243e+01,1.283432442725e-01,1.322823243753e-01
66,1.379389811483e+01,1.175448352012e-01,1.211899509179e-01
67,1.358855417021e+01,1.076549585419e-01,1.110277078209e-01
68,1.338626709450e+01,9.859716833488e-02,1.017175699298e-01
69,1.318699138135e+01,9.030142692237e-02,9.318807350667e-02
70,1.299068220183e+01,8.270363343764e-02,8.537378860659e-02
71,1.279729539437e+01,7.574508479480e-02,7.821475682440e-02
72,1.260678745483e+01,6.937201509835e-02,7.165603847237e-02
73,1.241911552670e+01,6.353516345969e-02,6.564729835893e-02
74,1.223423739145e+01,5.818940364272e-02,6.014241108902e-02
75,1.205211145907e+01,5.329340831638e-02,5.509912011509e-02
76,1.187269675866e+01,4.880934621032e-02,5.047872712142e-02
77,1.169595292925e+01,4.470256453168e-02,4.624577789136e-02
78,1.152184021070e+01,4.094132291398e-02,4.236778598907e-02
79,1.135031943477e+01,3.749654738276e-02,3.881498484198e-02
80,1.118135201631e+01,3.434160890018e-02,3.556010223759e-02
81,1.101489994455e+01,3.145211799498e-02,3.257815546943e-02
82,1.085092577459e+01,2.880574368807e-02,2.984626116853e-02
83,1.068939261895e+01,2.638203341617e-02,2.734345325543e-02
84,1.053026413927e+01,2.416225378218e-02,2.505052172091e-02
85,1.037350453816e+01,2.212924477589e-02,2.294986644109e-02
86,1.021907855112e+01,2.026729079841e-02,2.102536312359e-02
87,1.006695143862e+01,1.856199915253e-02,1.926224031557e-02
88,9.917088978289e+00,1.700018984105e-02,1.764696651391e-02
89,9.769457457202e+00,1.556979090563e-02,1.616714438759e-02
90,9.624023664306e+00,1.425974582435e-02,1.481141546993e-02
91,9.480754882949e+00,1.305992768127e-02,1.356937336517e-02
92,9.339618883517e+00,1.196106179121e-02,1.243148444313e-02
93,9.200583916185e+00,1.095465386806e-02,1.138901485209e-02
94,9.063618703774e+00,1.003292507135e-02,1.043396351783e-02
95,8.928692434716e+00,9.188750789307e-03,9.559000050949e-03
96,8.795774756120e+00,8.415605640377e-03,8.757408488801e-03
97,8.664835766947e+00,7.707512968340e-03,8.023035932325e-03
